nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Exterior,Antigüedad,Conservación,Referencia,Armarios empotrados,Carpintería interior,Tipo suelo,Vidrios dobles,Carpintería exterior,Teléfono,Aire acondicionado,Calefacción,Cocina equipada,Comedor,Lavadero,Garaje,Portero automático,Puerta blindada,Sistema de seguridad,Ascensor,Adaptado a personas con movilidad reducida,Balcón,Terraza,Jardín,Piscina,Orientación,Soleado,No se aceptan mascotas,Amueblado,Trastero,Superficie solar,Se aceptan mascotas,Chimenea,Gastos de comunidad,Agua,Gas,Luz,Interior,Urbanizado,Calle alumbrada,Calle asfaltada,Tipo de casa
Piso en Segle XX,Alquila Tu Hogar -,9 €/m²,820 €/mes,85 m²,https://www.pisos.com/alquilar/piso-segle_xx08223-42556815291_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,85 m²,,2,1,Bajo,N/A,,En buen estado,SA4376-2101/21010016/33,,,,,,,,,N/A,,,,,,,N/A,,,,,,Norte,,,,,,N/A,,,N/A,,,,,,,
Casa adosada en Carrer de Jaume Huguet,Engel & Völkers MMC Barcelona,13 €/m²,5.800 €/mes,440 m²,https://www.pisos.com/alquilar/casa_adosada-esplugues_de_llobregat_centro_urbano08950-51720829252_101800/,Anuncio actualizado el 07/02/2025,"D, D","D, D",barcelona,440 m²,,5,5,,,Entre 30 y 50 años,,IF76306-I-00L7CF-W-02YPI5,1,,,,,,,Central,N/A,,N/A,1,,,,,,,N/A,Privado,,,,,,N/A,300 m²,,,,,,,,,,,Adosada
Piso en Montigalà-Sant Crist,ALQUILA TU HOGAR,20 €/m²,1.070 €/mes,53 m²,https://www.pisos.com/alquilar/piso-montigala_sant_crist08917-33347722050_100500/,Anuncio actualizado el 14/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,53 m²,,3,1,1ª,N/A,,En buen estado,SA3458-2001/20010029/47,,,Gres,,,,,,N/A,,,,,,,,,,,,,,,,,,,N/A,,,N/A,,,,,,,
Piso en Carrer del Portal Nou,ALL 4 FLAT,28 €/m²,850 €/mes,30 m²,https://www.pisos.com/alquilar/piso-sant_pere_santa_caterina_la_ribera08003-50925524127_518209/,Anuncio actualizado el 05/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,30 m²,26 m²,1,1,2ª,N/A,Más de 50 años,A estrenar,518209-002542B,2,,Mármol,,,,Frío,,N/A,N/A,,,,,N/A,N/A,,,,,,,N/A,,,,,,,,,,,N/A,,,,
Piso en Serraparrera,Alquila Tu Hogar -,15 €/m²,1.335 €/mes,85 m²,https://www.pisos.com/alquilar/piso-serraparrera08290-50923065463_100500/,Anuncio actualizado el 22/01/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,85 m²,,2,2,Bajo,N/A,,En buen estado,SA4376-2101/21010004/4,,,,,,,,,N/A,,,,,,,,,,,,,Norte,,,,,,N/A,,,,,,,,,,
Apartamento en El Poblenou,Engel & Völkers MMC Barcelona,21 €/m²,2.500 €/mes,115 m²,https://www.pisos.com/alquilar/apartamento-sant_marti_el_poblenou08005-42520222329_101800/,Anuncio actualizado el 22/06/2024,"D, C","D, C",barcelona,115 m²,,4,2,1ª,,Más de 50 años,,IF76306-I-00KWQ7-W-02UW9D,,,,,,,,Central,N/A,,N/A,,,,,N/A,,,N/A,,,,,,N/A,,,,,,,,,,,,,
Piso en Carrer de Llull,RENTUOS,31 €/m²,2.200 €/mes,70 m²,https://www.pisos.com/alquilar/piso-diagonal_mar_el_front_maritim_del_poblenou08019-50080606134_100500/,Anuncio actualizado el 20/01/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,70 m²,,1,1,3ª,N/A,Entre 20 y 30 años,En buen estado,SA246-340801948567,1,,Parquet,,,,Frío,,Cocina equipada,,,1,,,,N/A,,,N/A,Comunitario,Comunitaria,,,,N/A,,,,,,,,,,,,,
Ático en Centre,Engel & Völkers MMC Barcelona,34 €/m²,2.600 €/mes,75 m²,https://www.pisos.com/alquilar/atico-sant_cugat_del_valles_centre08172-51667644098_101800/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,75 m²,,3,2,3ª,,Menos de 5 años,,IF76306-I-00L7OH-W-02YWEN,,,,,,,,Central,N/A,,,1,,,,N/A,,,N/A,,,,,,,N/A,,,,,,,,,,,,
Casa en Vacarisses,Engel & Völkers MMC Barcelona,17 €/m²,3.500 €/mes,205 m²,https://www.pisos.com/alquilar/casa-vacarisses_centro_urbano-50086632753_101800/,Anuncio actualizado el 19/12/2024,"E, E","E, E",barcelona,205 m²,,4,2,,,Entre 10 y 20 años,,IF76306-I-00L5YU-W-02Y4KP,1,,,,,,,Central,N/A,,N/A,1,,,,,,,N/A,Privado,Propia,,,,N/A,N/A,896 m²,,,,,,,,,,,
Apartamento en Sant Pere-Santa Caterina-La Ribera,Engel & Völkers MMC Barcelona,25 €/m²,3.100 €/mes,120 m²,https://www.pisos.com/alquilar/apartamento-sant_pere_santa_caterina_la_ribera08003-48343952045_101800/,Anuncio actualizado el 28/10/2024,"F, E","F, E",barcelona,120 m²,,2,3,,,,,IF76306-I-00L42S-W-02XGXE,1,,,,,,,Central,N/A,,,,,,,,,,N/A,,,,,,N/A,,,,,,,,,,,,,
Apartamento en L'Antiga Esquerra de l'Eixample,Engel & Völkers MMC Barcelona,46 €/m²,2.725 €/mes,59 m²,https://www.pisos.com/alquilar/apartamento-antiga_esquerra_de_eixample08036-35874491890_101800/,Anuncio actualizado el 21/05/2024,"C, B","C, B",barcelona,59 m²,,,1,,,,,IF76306-I-00KOXQ-W-02T19N,,,,,,,,Central,,,,,,,,N/A,,,N/A,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Sant Pau,AgencySL,34 €/m²,3.800 €/mes,110 m²,https://www.pisos.com/alquilar/piso-el_raval08001-50004279328_525584/,Anuncio actualizado el 07/02/2025,"C, C","C, C",barcelona,110 m²,98 m²,5,5,1ª,N/A,Más de 50 años,Reformado,525584-SL0335,1,N/A,Parquet,N/A,PVC,,,Eléctrica,N/A,N/A,N/A,,N/A,,,,N/A,N/A,30 mts,,,,N/A,,N/A,,,,,,,,,N/A,,,,
Chalet unifamiliar en Castellet I La Gornal,SPAIN REALTY ESTATE,1 €/m²,1.855 €,965 m²,https://www.pisos.com/alquilar/chalet_unifamiliar-castellet_i_la_gornal_centro_urbano-50841791370_519306/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,965 m²,900 m²,3,1,,,Entre 5 y 10 años,En buen estado,"4519306-LUMINOSO CHALET EN CASTELLET, VACACIONAL",Más de 2,N/A,,N/A,,,,Eléctrica,N/A,N/A,N/A,1,,N/A,N/A,,,,N/A,Privado,Propia,,,,N/A,,1.000 m²,,,,,,,,N/A,N/A,N/A,
Piso en Ca n'Oriac,ALQUILA TU HOGAR,16 €/m²,885 €/mes,54 m²,https://www.pisos.com/alquilar/piso-ca_noriac08207-40845155981_100500/,Anuncio actualizado el 22/01/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,54 m²,,3,1,3ª,N/A,,En buen estado,SA3458-2001/20010006/81,,,Gres,,,,,,N/A,,,,,,,,,,,,,,,,,,,N/A,,,N/A,,,,,,,
Casa en Mirasol,CANO & PUJOL,25 €/m²,6.740 €/mes,262 m²,https://www.pisos.com/alquilar/casa-sant_cugat_del_valles_mira_sol08195-50863007372_109300/,Anuncio actualizado el 30/01/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,262 m²,236 m²,4,3,,,,Reformado,EP1034-5839,,,,,,,,,,,,1,,,,,,,N/A,,Comunitaria,,,,,,,,,,,,,,,,,
Ático en Travessera de les Corts,AgencySL,16 €/m²,1.790 €/mes,109 m²,https://www.pisos.com/alquilar/atico-les_corts_barrio08029-51718791306_525584/,Anuncio actualizado el 10/02/2025,"E, F","E, F",barcelona,109 m²,101 m²,3,3,8ª,N/A,Más de 50 años,En buen estado,525584-SL0373,1,,Gres,N/A,PVC,,Frío y calor,Gas natural,N/A,N/A,,,,,,N/A,,N/A,N/A,,,,N/A,N/A,,,,,,,,,,,,,,
Dúplex en Carrer del Mercadal,ICASA GRUP,11 €/m²,870 €/mes,75 m²,https://www.pisos.com/alquilar/duplex-martorell_centro_urbano-34224972434_116800/,Anuncio actualizado el 14/02/2025,"E, E","E, E",barcelona,75 m²,65 m²,2,2,2ª,,,En buen estado,1168-APG0156,2,Haya,Gres,N/A,Aluminio,,,Gas natural,Office 6m²,18m²,En cocina,1,N/A,N/A,,N/A,,N/A,8m²,,,Noreste,,N/A,,,,,,,,N/A,,Baños,,,,
Apartamento en Port,Engel & Völkers MMC Barcelona,30 €/m²,2.490 €/mes,82 m²,https://www.pisos.com/alquilar/apartamento-badalona_port08918-50010171709_101800/,Anuncio actualizado el 13/12/2024,"A, A","A, A",barcelona,82 m²,,2,2,,,Menos de 5 años,,IF76306-I-00L5SJ-W-02Y0F3,1,,,,,,,Central,N/A,,,1,,,,N/A,,,,,Propia,,,,N/A,N/A,,,,,,,,,,,,
Casa en Vora Sitges,OPEN INMO,33 €/m²,4.000 €/mes,120 m²,https://www.pisos.com/alquilar/casa-canyelles_centro_urbano-45846216553_100500/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,120 m²,110 m²,3,2,,,Menos de 5 años,,SA1406-OI01937/5763,,,,,,,,Central,,,,,,,N/A,,,,N/A,N/A,,Sur,,,,,700 m²,,,,N/A,,,,N/A,,,
Casa en Sant Fost de Campsentelles,Engel & Völkers MMC Barcelona,7 €/m²,4.400 €/mes,608 m²,https://www.pisos.com/alquilar/casa-sant_fost_de_campsentelles_centro_urbano-32571466838_101800/,Anuncio actualizado el 29/07/2024,"E, D","E, D",barcelona,608 m²,,6,4,,,Más de 50 años,,IF76306-I-00KJCP-W-02RKXQ,1,,,,,,,,N/A,,N/A,1,,,,,,,N/A,Privado,Propia,,,,N/A,,1.846 m²,,,,,,,,,,,
Piso en Alella,Access Home Real Estate,16 €/m²,2.000 €/mes,120 m²,https://www.pisos.com/alquilar/piso-alella_centro_urbano-49261340093_108900/,Anuncio actualizado el 09/11/2024,Error al procesar consumo,Error al procesar emisiones,barcelona,120 m²,,2,2,,,,,XA643-1499,,,,,,,,,N/A,,,,,N/A,N/A,,,,,,,Sur,,,N/A,,,,,,,,,,,,,
Casa en Carrer de l'Anoia,FINQUES CITY GRUP,8 €/m²,2.500 €/mes,280 m²,https://www.pisos.com/alquilar/casa-can_more_santa_anna-50865690102_518056/,Anuncio actualizado el 29/01/2025,"E, E","E, E",barcelona,280 m²,231 m²,3,3,,,Entre 20 y 30 años,En buen estado,518056-AX78,,N/A,Gres,,Aluminio,,,Central,N/A,N/A,N/A,,,,,,,,N/A,Privado,Propia,,,,N/A,,,,,,,,,,,,,
Piso en Sallent,FINQUES PUJOL,10 €/m²,525 €/mes,50 m²,https://www.pisos.com/alquilar/piso-sallent_centro_urbano-15094296629_500010/,Anuncio actualizado el 18/02/2025,"E, E","E, E",barcelona,50 m²,45 m²,1,1,1ª,N/A,,En buen estado,500010-000666,,,,N/A,,,,Gas natural,Americana,N/A,,,,N/A,,N/A,,N/A,,,,,,,,,,,,,,N/A,,,,,,
Piso en Centre Històric,LA LLAR IMMOBILIÀRIA,12 €/m²,1.000 €/mes,83 m²,https://www.pisos.com/alquilar/piso-vic_centre_historic-50835570533_116000/,Anuncio actualizado el 20/02/2025,"A, A","A, A",barcelona,83 m²,70 m²,2,1,3ª,N/A,Menos de 5 años,En buen estado,1160-099875,2,,Gres,N/A,Madera,,Frío y calor,N/A,N/A,N/A,,,N/A,,,N/A,,,N/A,Privado,,Sureste,N/A,,,,,,,,,,,,,,,
Piso en Passatge de Puigcerdà,FINCAS DUEÑAS,10 €/m²,1.187 €/mes,109 m²,https://www.pisos.com/alquilar/piso-distrito_gracia08205-51681314147_994044/,Anuncio actualizado el 10/02/2025,"E, D","E, D",barcelona,109 m²,109 m²,4,2,1ª,N/A,Entre 20 y 30 años,Reformado,4994044-Piso en Sabadell de alquiler.,,Roble.,Parquet,,Aluminio tipo climalit.,,Frío y calor,Gas natural,"Americana, abierta al salón.",Abierta a la cocina.,,,,,,N/A,,N/A,,,,,,,,,,,,,,,,,,,,
Apartamento en La Dreta de l'Eixample,Engel & Völkers MMC Barcelona,31 €/m²,3.800 €/mes,120 m²,https://www.pisos.com/alquilar/apartamento-la_dreta_de_eixample08002-48422233149_101800/,Anuncio actualizado el 10/10/2024,"E, E","E, E",barcelona,120 m²,,3,3,1ª,,,,IF76306-I-00L3PP-W-02XBC2,,,,,,,,Central,N/A,,,,,,,N/A,,,N/A,,,,,,N/A,,,,,,,,,,,,,
Piso en La Florida,ALQUILA TU HOGAR,20 €/m²,1.230 €/mes,61 m²,https://www.pisos.com/alquilar/piso-hospitalet_de_llobregat_la_florida08905-31698647630_100500/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,61 m²,,3,1,2ª,N/A,,En buen estado,SA3458-2001/20010013/122,,,Gres,,,,,,N/A,,,,,,,N/A,,,,,,,,,,,,N/A,,,N/A,,,,,,,
Piso en Carrer dels Cavallers,MONAPART,21 €/m²,6.000 €/mes,285 m²,https://www.pisos.com/alquilar/piso-pedralbes08034-50915179157_101800/,Anuncio actualizado el 04/02/2025,"E, E","E, E",barcelona,285 m²,,5,4,1ª,,Entre 30 y 50 años,,IF76872-MP0004-3884,1,,,,,,,Central,N/A,,,1,,,,N/A,,,N/A,Privado,Propia,,,,,N/A,,,,,,,,,,,,
Piso en Carrer del Vidre,AgencySL,20 €/m²,1.250 €/mes,60 m²,https://www.pisos.com/alquilar/piso-el_barri_gotic08002-50022198440_525584/,Anuncio actualizado el 07/02/2025,"C, C","C, C",barcelona,60 m²,56 m²,1,1,Principal,N/A,,Reformado,525584-SL0025,1,N/A,Parquet,N/A,Madera,,Frío y calor,Gas natural,N/A,N/A,,,,,,N/A,,N/A,N/A,,,,N/A,N/A,N/A,,,,,,,,,N/A,,,,
Apartamento en Diagonal Mar-El Front Marítim del Poblenou,Engel & Völkers MMC Barcelona,37 €/m²,2.650 €/mes,70 m²,https://www.pisos.com/alquilar/apartamento-diagonal_mar_el_front_maritim_del_poblenou08019-49225995798_101800/,Anuncio actualizado el 11/11/2024,"D, D","D, D",barcelona,70 m²,,2,1,11ª,,Entre 20 y 30 años,,IF76306-I-00L4QA-W-02XM9F,1,,,,,,,Central,N/A,,N/A,1,,,,N/A,,,N/A,,Propia,,,,N/A,,,,,,,,,,,,,
Casa en Tiana,Access Home Real Estate,13 €/m²,4.900 €/mes,364 m²,https://www.pisos.com/alquilar/casa-tiana_centro_urbano08391-45004262687_108900/,Anuncio actualizado el 04/09/2024,Error al procesar consumo,Error al procesar emisiones,barcelona,364 m²,,5,5,,,,A estrenar,XA643-3687,,,,,,,,,N/A,,,Más de 2,,N/A,N/A,N/A,,,N/A,,Propia,Sur,,,,,,,,,,,,,,,,
Chalet en Cabrils,Access Home Real Estate,8 €/m²,3.500 €/mes,397 m²,https://www.pisos.com/alquilar/chalet-cabrils_centro_urbano-50929250468_108900/,Anuncio actualizado el 03/01/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,397 m²,,5,4,,,,,XA643-4034,,,,,,,,Gas natural,,,,2,,,N/A,,,,,,Propia,Sur,,,,,,,N/A,,,,,,,,,
Piso en Carrer de la Reina Amàlia,ALL 4 FLAT,24 €/m²,1.250 €/mes,52 m²,https://www.pisos.com/alquilar/piso-el_raval08001-50879649955_518209/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,52 m²,46 m²,2,1,2ª,N/A,Más de 50 años,En buen estado,518209-002644C,2,Aluminio,Parquet,N/A,Aluminio,,Frío y calor,,Totalmente equipada,N/A,,,,,N/A,,,N/A,,,,,N/A,,Totalmente amueblado,,,,,,,,,,,,,
Casa en Pedralbes,Engel & Völkers MMC Barcelona,27 €/m²,7.500 €/mes,270 m²,https://www.pisos.com/alquilar/casa-pedralbes08034-45004530893_101800/,Anuncio actualizado el 09/07/2024,Error al procesar consumo,Error al procesar emisiones,barcelona,270 m²,,4,4,,,Menos de 5 años,,IF76306-I-00L05C-W-02UZLK,,,,,,,,Central,N/A,,N/A,,,,,,,,,Privado,,,,,,,,,,,,,,,,,,
Apartamento en L'Eixample-Torreblanca,Engel & Völkers MMC Barcelona,24 €/m²,2.290 €/mes,95 m²,https://www.pisos.com/alquilar/apartamento-eixample_torreblanca08172-50899217454_101800/,Anuncio actualizado el 23/01/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,95 m²,,4,2,1ª,,,,IF76306-I-00L6JL-W-02YCO2,1,,,,,,,Central,,,N/A,1,,,,N/A,,,N/A,Privado,Propia,,,,,N/A,,,,,,,,,,,,
Casa rústica en Jorba,Engel & Völkers MMC Barcelona,4 €/m²,3.500 €/mes,805 m²,https://www.pisos.com/alquilar/casa_rustica-jorba_centro_urbano-50900636711_101800/,Anuncio actualizado el 23/01/2025,"F, F","F, F",barcelona,805 m²,,8,3,,,Entre 10 y 20 años,,IF76306-I-00L6RT-W-02YGEH,1,,,,,,,Central,,,N/A,1,,,,,,,N/A,Privado,Propia,,,,,N/A,1.093 m²,,,,,,,,,,,Rústica
Ático en Centre,Engel & Völkers MMC Barcelona,24 €/m²,4.900 €/mes,198 m²,https://www.pisos.com/alquilar/atico-castelldefels_centre-50052619708_101800/,Anuncio actualizado el 05/12/2024,"A, A","A, A",barcelona,198 m²,,4,4,,,Menos de 5 años,,IF76306-I-00L5K4-W-02Y1BM,1,,,,,,,Central,N/A,,N/A,1,,,,N/A,,,N/A,,,,,,N/A,N/A,,,,,,,,,,,,
Casa en Les Botigues de Sitges,Engel & Völkers MMC Barcelona,14 €/m²,4.500 €/mes,312 m²,https://www.pisos.com/alquilar/casa-les_botigues_de_sitges-51683143829_101800/,Anuncio actualizado el 10/02/2025,"A, A","A, A",barcelona,312 m²,,5,3,,,Entre 20 y 30 años,,IF76306-I-00L7F7-W-02YOCN,1,,,,,,,Central,N/A,,N/A,1,,,,,,,N/A,Privado,Propia,,,,N/A,N/A,,,,,,,,,,,,
Piso en Les Corts,"DESARROLLO LES CORTS, S.L.U.",18 €/m²,1.570 €/mes,85 m²,https://www.pisos.com/alquilar/piso-les_corts_barrio08029-46725570323_100200/,Anuncio actualizado el 14/02/2025,"E, E","E, E",barcelona,85 m²,,3,1,8ª,,Más de 50 años,En buen estado,TC331-591021,,,Parquet,,,,N/A,N/A,,,,,,,,N/A,,N/A,,,,,,,,,,,,,,,,,,,,
Casa en La Pineda,Engel & Völkers MMC Barcelona,24 €/m²,12.000 €/mes,494 m²,https://www.pisos.com/alquilar/casa-castelldefels_la_pineda-50888429623_101800/,Anuncio actualizado el 29/01/2025,"C, C","C, C",barcelona,494 m²,,4,4,,,Entre 20 y 30 años,,IF76306-I-00L705-W-02XB32,1,,,,,,,Central,N/A,,N/A,1,,,,,,,N/A,Privado,Propia,,,,N/A,N/A,1.200 m²,,,,,,,,,,,
Piso en Carrer Pau Alsina,INMOSERVICE BARCELONA,25 €/m²,2.100 €/mes,81 m²,https://www.pisos.com/alquilar/piso-el_camp_en_grassot_gracia_nova08025-51738874980_100500/,Anuncio actualizado el 04/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,81 m²,80 m²,2,1,2ª,,,,SA1366-ISBGM669AA/2015,,,Tarima flotante,,,,N/A,,,N/A,,,,,,,,N/A,N/A,,Comunitaria,,,,,,,,,,N/A,,,,,,,
Piso en Carrer dels Cavallers,INMOSERVICE BARCELONA,23 €/m²,5.800 €/mes,250 m²,https://www.pisos.com/alquilar/piso-pedralbes08034-34252544573_100500/,Anuncio actualizado el 02/02/2025,"E, E","E, E",barcelona,250 m²,245 m²,4,4,4ª,,,,SA1366-ISTTEMI378/2015,1,,Mármol,,,,N/A,Gas natural,,,,1,,N/A,,N/A,,,N/A,N/A,Comunitaria,Norte,,,,N/A,,,N/A,,N/A,,,,,,,
Piso en Can Girona-Terramar-Vinyet,SAFTI ESPAÑA,13 €/m²,2.700 €/mes,193 m²,https://www.pisos.com/alquilar/piso-can_girona_terramar_vinyet-51762467556_100500/,Anuncio actualizado el 18/02/2025,"D, D","D, D",barcelona,193 m²,100 m²,3,2,Bajo,,Entre 20 y 30 años,,SA3541-REF_32870,,,,,,,,Central,,,,1,,,,N/A,,N/A,N/A,,N/A,Sureste,,,N/A,,,,,,,,,,,,,
Piso en Llefià-Artigues,ALQUILA TU HOGAR,12 €/m²,1.095 €/mes,86 m²,https://www.pisos.com/alquilar/piso-llefia_artigues08914-40035409815_100500/,Anuncio actualizado el 10/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,86 m²,,3,1,3ª,N/A,,En buen estado,SA3458-2001/20010029/80,,,Gres,,,,,,N/A,,,,,,,N/A,,,,,,,,,N/A,,,N/A,,,N/A,,,,,,,
Piso en Carrer d'Andrea Dòria,ALL 4 FLAT,30 €/m²,1.300 €/mes,42 m²,https://www.pisos.com/alquilar/piso-ciutat_vella_la_barceloneta08003-45835291567_518209/,Anuncio actualizado el 14/02/2025,"D, D","D, D",barcelona,42 m²,42 m²,1,1,2ª,Totalmente exterior,Más de 50 años,Reformado,518209-003253A,,,Parquet,N/A,PVC,,A/a por conductos,,"Tipo americana, totalmente equipada",Amplio y luminoso,,,N/A,N/A,N/A,N/A,,N/A,,,Centro de lavado comunitario,Sur,N/A,,Totalmente amueblado,,,,,,,,,,,,,
Casa en Can Riera  - San Feliu del Raco  -,NOVA FINQUES,13 €/m²,3.500 €/mes,252 m²,https://www.pisos.com/alquilar/casa-castellar_del_valles_centro_urbano-50062842615_100500/,Anuncio actualizado el 13/12/2024,Error al procesar consumo,Error al procesar emisiones,barcelona,252 m²,230 m²,5,1,,,Entre 20 y 30 años,,SA3386-CDV14202/8710,,,,,,,,,,N/A,,,,,,,,,,N/A,Propia,,,,,,40.000 m²,,N/A,,N/A,,,,,,,
Dúplex en Carrer dels Tres Llits,Albium Gestió S.L.,30 €/m²,2.500 €/mes,83 m²,https://www.pisos.com/alquilar/duplex-el_barri_gotic08002-44168264445_100500/,Anuncio actualizado el 20/02/2025,"C, C","C, C",barcelona,83 m²,75 m²,1,2,Bajo,,Más de 50 años,,SA344-ALB-00581/3591,,,Parquet,,,,N/A,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer d'Alfons XII,AgencySL,28 €/m²,1.300 €/mes,45 m²,https://www.pisos.com/alquilar/piso-el_putxet_el_farro08023-51726145461_525584/,Anuncio actualizado el 08/02/2025,"D, D","D, D",barcelona,45 m²,40 m²,1,1,2ª,N/A,,Reformado,525584-SL0377,,,Parquet,N/A,Aluminio,,,Eléctrica,N/A,,,,N/A,,,N/A,,,,,,Sur,N/A,N/A,N/A,,,,,,,,,,,,,
Piso en L'Espirall,Alquila Tu Hogar -,9 €/m²,675 €/mes,74 m²,https://www.pisos.com/alquilar/piso-espirall-48367770767_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,74 m²,,2,1,1ª,N/A,,En buen estado,SA4376-2101/21010018/2,,,,,,,,,N/A,,,,,,,,,,N/A,,,,,,,,,N/A,,,,,,,,,,
Apartamento en Carrer de Cartagena,INMOSERVICE BARCELONA,38 €/m²,2.500 €/mes,65 m²,https://www.pisos.com/alquilar/apartamento-la_sagrada_familia08025-34181617128_100500/,Anuncio actualizado el 24/01/2025,"C, B","C, B",barcelona,65 m²,59 m²,2,1,5ª,,,,SA1366-ISBMP193/2015,1,,Parquet,,,,N/A,,,,,,,N/A,,N/A,,N/A,N/A,,,,,,N/A,,,,,,N/A,,,,,,,
Piso en Carrer dels Escudellers,ALL 4 FLAT,16 €/m²,1.000 €/mes,60 m²,https://www.pisos.com/alquilar/piso-el_barri_gotic08002-10860188235_518209/,Anuncio actualizado el 27/01/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,60 m²,60 m²,1,2,3ª,N/A,Más de 50 años,Reformado,518209-000506E,,Aluminio,Terrazo,Ventanas insonorizadas,Aluminio,,,,Totalmente equipada,Amplio comedor,,,,N/A,N/A,,,,,,,,Soleado,,Totalmente amueblado,,,,,,,,,,,,,
"Casa adosada en Carrer de l'Havana, 14",Asif Grup,Error al procesar precio m²,675 €/mes,3,https://www.pisos.com/alquilar/casa_adosada-sant_feliu_de_codines_centro_urbano-51679945739_101800/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,,,3,1,,,,,IF76363-ASF-660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adosada
Casa adosada en Tiana,Engel & Völkers MMC Barcelona,14 €/m²,4.750 €/mes,336 m²,https://www.pisos.com/alquilar/casa_adosada-tiana_centro_urbano08391-50090218798_101800/,Anuncio actualizado el 29/12/2024,"A, A","A, A",barcelona,336 m²,,4,4,,,Menos de 5 años,,IF76306-I-00L5M4-W-02XW59,1,,,,,,,Central,N/A,,,1,,,,,,,N/A,Privado,,,,,,N/A,303 m²,,,,,,,,,,,Adosada
Piso en Carrer de Lleó,AgencySL,22 €/m²,1.950 €/mes,88 m²,https://www.pisos.com/alquilar/piso-el_raval08001-50004182562_525584/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,88 m²,80 m²,4,1,1ª,N/A,Más de 50 años,En buen estado,525584-LS0070,Más de 2,N/A,,N/A,PVC,,Frío y calor,Eléctrica,N/A,N/A,N/A,,,,,N/A,,N/A,,,,,N/A,,N/A,N/A,,,,,,,,N/A,,,,
Casa en Via Europa,Engel & Völkers MMC Barcelona,6 €/m²,3.000 €/mes,430 m²,https://www.pisos.com/alquilar/casa-via_europa08303-50914128439_101800/,Anuncio actualizado el 29/01/2025,"E, E","E, E",barcelona,430 m²,,6,4,,,,,IF76306-I-00L6XQ-W-02YF8V,1,,,,,,,Central,N/A,,,1,,,,,,,N/A,Privado,,,,,N/A,,,,,,,,,,,,,
Apartamento en Baixador,Engel & Völkers MMC Barcelona,39 €/m²,2.850 €/mes,73 m²,https://www.pisos.com/alquilar/apartamento-baixador-32579560525_101800/,Anuncio actualizado el 31/10/2024,"E, E","E, E",barcelona,73 m²,,2,1,,,Más de 50 años,,IF76306-I-00KIYS-W-02RPYL,1,,,,,,,Central,N/A,,N/A,,,,,,,,N/A,,,Al mar,,,N/A,,,,,,,,,,,,,
Ático en Carretera de Santpedor,VITAL IMMOBLES,9 €/m²,1.300 €/mes,136 m²,https://www.pisos.com/alquilar/atico-ctra_de_santpedor_bases_de_manresa08243-51764870242_512449/,Anuncio actualizado el 20/02/2025,"F, E","F, E",barcelona,136 m²,119 m²,4,2,5ª,N/A,Entre 10 y 20 años,En buen estado,512449-4005,,,Parquet,N/A,Aluminio,,Frío y calor,Eléctrica,N/A,N/A,,2,N/A,N/A,,N/A,N/A,N/A,N/A,Comunitario,Comunitaria,Suroeste,N/A,,,N/A,,,,,,,,,,,,
Piso en Carrer de València,ALL 4 FLAT,17 €/m²,1.500 €/mes,86 m²,https://www.pisos.com/alquilar/piso-el_clot08026-51749134532_518209/,Anuncio actualizado el 05/02/2025,"E, E","E, E",barcelona,86 m²,80 m²,3,1,3ª,"Totalmente exterior, vistas ciudad",,En buen estado,518209-000987K,,Interior de madera,Gres,N/A,Aluminio,,,Central,Equipada,,,,,,,N/A,,N/A,,,,Este,,,Totalmente amueblado,,,,,,,,,,,,,
