nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Habitaciones,Baños,Antigüedad,Conservación,Referencia,Aire acondicionado,Calefacción,Garaje,Terraza,Jardín,Piscina,Superficie útil,Planta,Gastos de comunidad,Tipo suelo,Trastero,Puerta blindada,Ascensor,Balcón,Orientación,Exterior,Amueblado,Carpintería interior,Vidrios dobles,Carpintería exterior,Teléfono,Cocina equipada,Comedor,Portero automático,Sistema de seguridad,Soleado,Se aceptan mascotas,Superficie solar,Urbanizado,Armarios empotrados,Gas,Lavadero,Adaptado a personas con movilidad reducida,Agua,Chimenea,Tipo de casa,Luz,Calle alumbrada,Calle asfaltada,Interior,No se aceptan mascotas
"Dúplex en Plaça Parc del Estatut, 1",Agencia no disponible,1.283 €/m²,231.000 €,180 m²,https://www.pisos.com/comprar/duplex-olesa_de_montserrat_centro_urbano-50071948033_109800/,Anuncio actualizado el 18/12/2024,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),180 m²,3,2,Entre 10 y 20 años,En buen estado,21667128,Frío y calor,Gas natural,,N/A,,,180 m²,5ª,N/A,,,,N/A,N/A,,N/A,,,,,,,,,,N/A,,,,,,,,,,,,,,,
Casa en Corbera de Llobregat,Engel & Völkers MMC Barcelona,1.778 €/m²,875.000 €,492 m²,https://www.pisos.com/comprar/casa-corbera_de_llobregat_centro_urbano-48360865836_101800/,Anuncio actualizado el 29/10/2024,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),492 m²,5,5,Entre 30 y 50 años,,IF76306-I-00YQFJ-W-02XF3K,,Central,1,N/A,Privado,Propia,,,,,,,,,,,,,,,,N/A,,,,,,964 m²,,,,,,,,,,,,,
"Piso en Carrer del Mossèn Jacint Verdaguer, 90",ESTRENUS,3.400 €/m²,306.000 €,90 m²,https://www.pisos.com/comprar/piso-vinyets_moli_vell-5144935898_109700/,Anuncio actualizado el 03/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),90 m²,3,2,,A estrenar,4529415-21744200,,,,,,,,1ª,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Sant Just Desvern,Engel & Völkers MMC Barcelona,4.461 €/m²,995.000 €,223 m²,https://www.pisos.com/comprar/casa-sant_just_desvern_centro_urbano08960-49215459383_101800/,Anuncio actualizado el 02/11/2024,"E, E","E, E",baix_llobregat (BCN),223 m²,4,3,Entre 30 y 50 años,,IF76306-I-00YRXE-W-02XMIW,,,1,,,Propia,,,,,,,,,,,,,,,,N/A,,,,,,,,1,,N/A,,,,,,,,,
"Casa en Passatge del Pintor Fortuny, nº .",Housfy real Estate,1.244 €/m²,300.000 €,241 m²,https://www.pisos.com/comprar/casa-olesa_de_montserrat_centro_urbano-45930706720_109300/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),241 m²,4,2,,,EP442-739843,N/A,N/A,N/A,N/A,,,241 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa adosada en Carrer de Jordi Rubió i Balaguer,Aliseda Inmobiliaria,2.686 €/m²,309.000 €,115 m²,https://www.pisos.com/comprar/casa_adosada-marianao-49204879718_105900/,Anuncio actualizado el 25/12/2024,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),115 m²,3,2,,,AN1-ANT00030652270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adosada,,,,,
"Casa en Carrer de Joan Maragall, nº .",Housfy real Estate,1.164 €/m²,850.000 €,730 m²,https://www.pisos.com/comprar/casa-sant_andreu_de_la_barca_centro_urbano-51719406909_109300/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),730 m²,6,3,,,EP442-754704,,N/A,N/A,N/A,,,730 m²,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa adosada en Avinguda de Montserrat,Aliseda Inmobiliaria,898 €/m²,194.000 €,216 m²,https://www.pisos.com/comprar/casa_adosada-collbato_centro_urbano-41763176884_105900/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),216 m²,5,2,,,AN1-ANT00030683408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adosada,,,,,
"Piso en Carrer de Rafamans, 4",Agencia no disponible,3.328 €/m²,233.000 €,70 m²,https://www.pisos.com/comprar/piso-corbera_de_llobregat_centro_urbano-50924089854_109800/,Anuncio actualizado el 21/01/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),70 m²,2,2,Menos de 5 años,A estrenar,21725621,,Eléctrica,,,,,66 m²,1ª,N/A,Parquet,,,,N/A,,,,,N/A,Aluminio,,,,,,,,,,,,,,,,,,,,,
Casa en Martorell,Engel & Völkers MMC Barcelona,641 €/m²,170.000 €,265 m²,https://www.pisos.com/comprar/casa-martorell_centro_urbano-49206457017_101800/,Anuncio actualizado el 19/11/2024,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),265 m²,,,,,IF76306-I-00YPPA-W-02XDGL,,,,,,,,,,,,,,,,,,,,,,,,,,,,265 m²,,,,,,,,,,,,,
Piso en calle Llunas,Aliseda Inmobiliaria,3.092 €/m²,216.500 €,70 m²,https://www.pisos.com/comprar/piso-esplugues_de_llobregat_centro_urbano08906-51757507826_105900/,Anuncio actualizado el 12/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),70 m²,2,1,,,AN1-ANT00030688933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa adosada en Carrer de les Colomeres,Aliseda Inmobiliaria,1.920 €/m²,624.000 €,325 m²,https://www.pisos.com/comprar/casa_adosada-centre_zona_estacio_passeig_de_joan_maragall-44223886455_105900/,Anuncio actualizado el 19/12/2024,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),325 m²,5,2,,,AN1-ANT00030684885,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adosada,,,,,
Piso en Carrer de Revall,VIVANTIAL,1.321 €/m²,115.000 €,87 m²,https://www.pisos.com/comprar/piso-martorell_centro_urbano-50920701011_109300/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),87 m²,,,,,EP618-15043-2025,,,,,,,75 m²,2ª,,,N/A,,N/A,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,
"Casa en Carrer de Montjuic, nº .",Housfy real Estate,2.263 €/m²,559.000 €,247 m²,https://www.pisos.com/comprar/casa-sant_andreu_de_la_barca_centro_urbano-51690198027_109300/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),247 m²,5,2,,,EP442-842881,,N/A,,,,,247 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Carrer de Francesc Pi i Margall, 107",Agencia no disponible,3.137 €/m²,273.000 €,87 m²,https://www.pisos.com/comprar/piso-marianao-51687889983_109800/,Anuncio actualizado el 12/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),87 m²,4,2,Entre 30 y 50 años,En buen estado,21785716,Frío y calor,,,,,,,3ª,N/A,Parquet,,N/A,N/A,N/A,,,N/A,,N/A,Aluminio,,N/A,,,,N/A,,,,,,N/A,N/A,,,,,,,,
Casa en Carrer de l'Illa,HIPOGES IBERIA,678 €/m²,158.000 €,233 m²,https://www.pisos.com/comprar/casa-corbera_de_llobregat_centro_urbano-43376653550_100700/,Anuncio actualizado el 09/01/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),233 m²,,,,,SBRE-0112001,,,,,,,152 m²,,,,,,,,,,,,,,,,,,,,,233 m²,,,,,,,,,,,,,
Piso en Avinguda de Sant Ildefons,Aliseda Inmobiliaria,1.408 €/m²,100.000 €,71 m²,https://www.pisos.com/comprar/piso-sant_ildefons-41690810281_105900/,Anuncio actualizado el 24/10/2024,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),71 m²,,,,,AN1-ANT00030662603,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Montserrat,VIVANTIAL,1.420 €/m²,125.000 €,88 m²,https://www.pisos.com/comprar/piso-martorell_centro_urbano-42557003651_109300/,Anuncio actualizado el 28/01/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),88 m²,,,,,EP618-13621-2023,,,,N/A,,,79 m²,3ª,,,,,N/A,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,
Piso en Avenida Rafael Casanova,Aliseda Inmobiliaria,2.787 €/m²,223.000 €,80 m²,https://www.pisos.com/comprar/piso-el_castell_poble_vell-41715324045_105900/,Anuncio actualizado el 24/10/2024,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),80 m²,3,1,,,AN1-ANT00030682978,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer del Torrent de Rosanes,VIVANTIAL,1.473 €/m²,140.000 €,95 m²,https://www.pisos.com/comprar/piso-martorell_centro_urbano-51687961017_109300/,Anuncio actualizado el 05/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),95 m²,,,,,EP618-13730-2025,,,N/A,N/A,,,94 m²,1ª,,,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Sant Lluís,VIVANTIAL,2.454 €/m²,162.000 €,66 m²,https://www.pisos.com/comprar/piso-centre_zona_estacio_passeig_de_joan_maragall-48396504672_109300/,Anuncio actualizado el 28/01/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),66 m²,,,,,EP618-14375-2025,,,,,,,66 m²,,,,,,N/A,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,
"Chalet en Carrer del Puig Vicenç, 26",Agencia no disponible,1.459 €/m²,270.000 €,185 m²,https://www.pisos.com/comprar/chalet-torrelles_de_llobregat_centro_urbano-51701400993_109800/,Anuncio actualizado el 16/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),185 m²,3,3,Entre 10 y 20 años,A reformar,21799511,,Central,2,N/A,Privado,,115 m²,,N/A,Gres,,,,,Sur,,,,N/A,Aluminio,,N/A,,,N/A,,,712 m²,N/A,2,,,,,N/A,,,N/A,N/A,,
Piso en Carrer de la Begònia,Aliseda Inmobiliaria,1.869 €/m²,129.000 €,69 m²,https://www.pisos.com/comprar/piso-sant_ildefons-41727374261_105900/,Anuncio actualizado el 24/10/2024,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),69 m²,,,,,AN1-ANT00030683745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Carrer Major,HIPOGES IBERIA,487 €/m²,132.000 €,271 m²,https://www.pisos.com/comprar/casa-corbera_de_llobregat_centro_urbano-43365044079_100700/,Anuncio actualizado el 09/01/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),271 m²,,,Más de 50 años,,SBRE-0134169,,,,,N/A,,153 m²,,,,,,,,,,,,,,,,,,,,,271 m²,,,,,,,,,,,,,
Piso en Carrer de Revall,VIVANTIAL,1.444 €/m²,78.000 €,54 m²,https://www.pisos.com/comprar/piso-martorell_centro_urbano-50924707398_109300/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),54 m²,,,,,EP618-15041-2045,,,,,,,47 m²,Bajo,,,,,N/A,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,
Piso en Carrer de Montserrat,VIVANTIAL,1.454 €/m²,112.000 €,77 m²,https://www.pisos.com/comprar/piso-martorell_centro_urbano-42529452904_109300/,Anuncio actualizado el 28/01/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),77 m²,,,,,EP618-13617-2045,,,N/A,,,,77 m²,Bajo,,,,,N/A,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,
Chalet en Bajo Llobregat,IAD ESPAÑA,5.080 €/m²,950.000 €,187 m²,https://www.pisos.com/comprar/chalet-sant_esteve_sesrovires_centro_urbano-50093713796_108700/,Anuncio actualizado el 24/12/2024,"A, A","A, A",baix_llobregat (BCN),187 m²,4,4,Menos de 5 años,,UVC882-29679,,,,N/A,N/A,N/A,187 m²,,,,,,,,,,,,,,,,,,,,,1.078 m²,,,,,,,,,,,,,
Piso en Rambla de Pompeu Fabra,VIVANTIAL,2.180 €/m²,133.000 €,61 m²,https://www.pisos.com/comprar/piso-can_tintorer_can_tries-45929655156_109300/,Anuncio actualizado el 28/01/2025,"G, G","G, G",baix_llobregat (BCN),61 m²,,,,,EP618-14336-2025,,,,N/A,,,61 m²,Bajo,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,
Casa adosada en Carrer del Poeta Pitarra,Aliseda Inmobiliaria,1.553 €/m²,261.000 €,168 m²,https://www.pisos.com/comprar/casa_adosada-vallirana_centro_urbano-41741425007_105900/,Anuncio actualizado el 24/10/2024,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),168 m²,3,2,,,AN1-ANT00030675798,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adosada,,,,,
Piso en Plaça de la Granja,VIVANTIAL,2.246 €/m²,155.000 €,69 m²,https://www.pisos.com/comprar/piso-sant_cosme_la_granja-51757211105_109300/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),69 m²,,,,,EP618-14214-2025,,,,N/A,,,69 m²,6ª,,,,,N/A,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,
Piso en Carrer dels Caquis,VIVANTIAL,1.548 €/m²,175.000 €,113 m²,https://www.pisos.com/comprar/piso-esplugues_de_llobregat_centro_urbano-51758963128_109300/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),113 m²,,,,,EP618-13788-2025,,,,,,,113 m²,2ª,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Carrer de Sant Salvador, 9",Agencia no disponible,3.750 €/m²,225.000 €,60 m²,https://www.pisos.com/comprar/piso-corbera_de_llobregat_centro_urbano-50909141130_109800/,Anuncio actualizado el 21/01/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),60 m²,2,2,Menos de 5 años,A estrenar,21725682,,,,,,,57 m²,2ª,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer del Nord,Aliseda Inmobiliaria,3.250 €/m²,351.000 €,108 m²,https://www.pisos.com/comprar/piso-sant_boi_de_llobregat_centre-41689859161_105900/,Anuncio actualizado el 24/10/2024,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),108 m²,3,2,,,AN1-ANT00020717265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Carrer del Mossèn Jacint Verdaguer, 90",ESTRENUS,3.675 €/m²,272.000 €,74 m²,https://www.pisos.com/comprar/piso-vinyets_moli_vell-5151924655_109700/,Anuncio actualizado el 03/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),74 m²,2,1,,A estrenar,4529415-21744187,,,,N/A,,,,Bajo,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Revall,VIVANTIAL,1.306 €/m²,115.000 €,88 m²,https://www.pisos.com/comprar/piso-martorell_centro_urbano-50855730380_109300/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),88 m²,,,,,EP618-15090-2025,,,,,,,76 m²,1ª,,,,,N/A,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,
"Piso en Carrer de la Serra del Montsec, nº .",Housfy real Estate,3.884 €/m²,369.000 €,95 m²,https://www.pisos.com/comprar/piso-esplugues_de_llobregat_centro_urbano08950-48366814168_109300/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),95 m²,4,2,,,EP442-803285,N/A,,,N/A,,,90 m²,2ª,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Carrer de Marià Suñol,HIPOGES IBERIA,827 €/m²,360.000 €,435 m²,https://www.pisos.com/comprar/casa-castellvi_de_rosanes_centro_urbano-50912572467_100700/,Anuncio actualizado el 28/01/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),435 m²,,,Entre 30 y 50 años,,MYRE-00471,,,,N/A,N/A,,348 m²,,,,N/A,,,,,,,,,,,,,,,,,435 m²,,,,,,,,,,,,,
Piso en Carrer de Revall,VIVANTIAL,1.293 €/m²,119.000 €,92 m²,https://www.pisos.com/comprar/piso-martorell_centro_urbano-50837542381_109300/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),92 m²,,,,,EP618-15097-2025,,,,N/A,,,77 m²,3ª,,,,,N/A,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,
Casa adosada en Avinguda del Set,Aliseda Inmobiliaria,1.420 €/m²,575.500 €,405 m²,https://www.pisos.com/comprar/casa_adosada-torrelles_de_llobregat_centro_urbano-50863490103_105900/,Anuncio actualizado el 17/01/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),405 m²,,,,,AN1-ANT00030674849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adosada,,,,,
Piso en Carrer de l'Àlber,Aliseda Inmobiliaria,2.338 €/m²,145.000 €,62 m²,https://www.pisos.com/comprar/piso-sant_ildefons-47592088667_105900/,Anuncio actualizado el 19/11/2024,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),62 m²,,,,,AN1-ANT00030683816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Revall,VIVANTIAL,1.385 €/m²,97.000 €,70 m²,https://www.pisos.com/comprar/piso-martorell_centro_urbano-50834460316_109300/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),70 m²,,,,,EP618-15039-2023,,,,N/A,,,59 m²,3ª,,,,,N/A,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,
Piso en Carrer de Revall,VIVANTIAL,1.337 €/m²,119.000 €,89 m²,https://www.pisos.com/comprar/piso-martorell_centro_urbano-50899857965_109300/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),89 m²,,,,,EP618-15095-2023,,,,N/A,,,77 m²,3ª,,,,,N/A,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,
Piso en Carrer de Revall,VIVANTIAL,1.261 €/m²,106.000 €,84 m²,https://www.pisos.com/comprar/piso-martorell_centro_urbano-50901144833_109300/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),84 m²,,,,,EP618-15088-2045,,,,,,,73 m²,Bajo,,,,,N/A,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,
Piso en Plaça del Pare Poveda,VIVANTIAL,1.959 €/m²,145.000 €,74 m²,https://www.pisos.com/comprar/piso-centre_zona_estacio_passeig_de_joan_maragall-48381997549_109300/,Anuncio actualizado el 28/01/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),74 m²,,,,,EP618-14371-2045,,,,,,,74 m²,Bajo,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,
Piso en Carrer d'Oviedo,Aliseda Inmobiliaria,1.140 €/m²,235.000 €,206 m²,https://www.pisos.com/comprar/piso-sant_vicenc_dels_horts_centro_urbano-41676056452_105900/,Anuncio actualizado el 24/10/2024,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),206 m²,,1,,,AN1-ANT00030672487,,,,N/A,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de les Glicines,VIVANTIAL,2.230 €/m²,87.000 €,39 m²,https://www.pisos.com/comprar/piso-esplugues_de_llobregat_centro_urbano-45852903248_109300/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),39 m²,,,,,EP618-13827-2025,,,,N/A,,,39 m²,4ª,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en calle Bosc,Aliseda Inmobiliaria,1.778 €/m²,108.500 €,61 m²,https://www.pisos.com/comprar/piso-esplugues_de_llobregat_centro_urbano08906-41670029132_105900/,Anuncio actualizado el 24/10/2024,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),61 m²,2,1,,,AN1-ANT00030690461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer del Boix,Aliseda Inmobiliaria,1.980 €/m²,99.000 €,50 m²,https://www.pisos.com/comprar/piso-sant_ildefons-41686042557_105900/,Anuncio actualizado el 24/10/2024,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),50 m²,,,,,AN1-ANT00030656654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Montserrat,VIVANTIAL,1.419 €/m²,132.000 €,93 m²,https://www.pisos.com/comprar/piso-martorell_centro_urbano-45907322980_109300/,Anuncio actualizado el 28/01/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),93 m²,,,,,EP618-13833-2025,,,,N/A,,,83 m²,3ª,,,,,N/A,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,
"Piso en Carrer Anselm Clavé, 30",Agencia no disponible,4.388 €/m²,395.000 €,90 m²,https://www.pisos.com/comprar/piso-molins_de_rei_centro_urbano-51727092644_109800/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),90 m²,3,1,Más de 50 años,Reformado,21778916,Frío y calor,,,N/A,,,,4ª,N/A,,,N/A,N/A,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Montserrat,VIVANTIAL,1.431 €/m²,126.000 €,88 m²,https://www.pisos.com/comprar/piso-martorell_centro_urbano-42565896380_109300/,Anuncio actualizado el 28/01/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),88 m²,,,,,EP618-13622-2023,,,,N/A,,,78 m²,3ª,,,,,N/A,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,
"Piso en Carrer de Santa Maria, 33",Aliseda Inmobiliaria,2.430 €/m²,175.000 €,72 m²,https://www.pisos.com/comprar/piso-la_palma_de_cervello_centro_urbano08756-48389723631_104500/,Anuncio actualizado el 04/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),72 m²,1,2,,,ASR1-SRB0000874211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer del Garbí,HIPOGES IBERIA,1.317 €/m²,263.500 €,200 m²,https://www.pisos.com/comprar/piso-sant_esteve_sesrovires_centro_urbano-50074056226_100700/,Anuncio actualizado el 17/12/2024,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),200 m²,,,,,FRRE-01101,,,,,,,200 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Carrer del Mossèn Jacint Verdaguer, 162",Agencia no disponible,2.777 €/m²,175.000 €,63 m²,https://www.pisos.com/comprar/piso-sant_vicenc_dels_horts_centro_urbano-51759831501_109800/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),63 m²,3,1,Entre 30 y 50 años,En buen estado,21809530,,Gas natural,,,,,,3ª,N/A,Parquet,,,N/A,N/A,,,,,N/A,Aluminio,,N/A,,,N/A,N/A,,,,,,N/A,,,,,,,,,
"Ático en Avinguda de la Vall del Sol, 88",Agencia no disponible,2.825 €/m²,339.000 €,120 m²,https://www.pisos.com/comprar/atico-vallirana_centro_urbano-50841967767_109800/,Anuncio actualizado el 26/01/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),120 m²,4,2,Entre 30 y 50 años,Reformado,21738433,Frío y calor,Gas natural,1,N/A,Comunitario,Comunitaria,114 m²,6ª,N/A,Parquet,N/A,N/A,N/A,N/A,Noreste,N/A,N/A,,N/A,PVC,,N/A,,,,N/A,,,,1,,N/A,N/A,,,,,,,,
Casa en Carrer de Laureà Miró,VIVANTIAL,1.472 €/m²,299.000 €,203 m²,https://www.pisos.com/comprar/casa-esplugues_de_llobregat_centro_urbano-13420118813_109300/,Anuncio actualizado el 07/02/2025,"E, E","E, E",baix_llobregat (BCN),203 m²,,,,,EP618-6040-12,,,,N/A,,,160 m²,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Revall,VIVANTIAL,1.421 €/m²,91.000 €,64 m²,https://www.pisos.com/comprar/piso-martorell_centro_urbano-50890381873_109300/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),64 m²,,,,,EP618-15040-2045,,,,,,,56 m²,Bajo,,,,,N/A,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,
"Dúplex en Carrer del Camp dels Prats, 3",Agencia no disponible,3.590 €/m²,395.000 €,110 m²,https://www.pisos.com/comprar/duplex-begues_centro_urbano-50886095807_109800/,Anuncio actualizado el 24/01/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),110 m²,4,3,Entre 10 y 20 años,En buen estado,21735232,Frío y calor,Gas natural,2,,Privado,,,Bajo,Entre 40 y 60 €,,N/A,,,,Sureste,N/A,,,N/A,Aluminio,,N/A,,,N/A,N/A,,,,Más de 2,,,,,,,,,,,
Piso en Carrer de Viladecans,Aliseda Inmobiliaria,23 €/m²,97.500 €,4.163 m²,https://www.pisos.com/comprar/piso-sant_boi_de_llobregat_casablanca-45062583555_105900/,Anuncio actualizado el 31/01/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),4.163 m²,,,,,AN1-ANT00038779159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Carrer de Catalunya,HIPOGES IBERIA,505 €/m²,390.000 €,771 m²,https://www.pisos.com/comprar/casa-cervello_centro_urbano-50074852218_100700/,Anuncio actualizado el 19/12/2024,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),771 m²,,,Entre 30 y 50 años,,LIRE-00151,,,,,,,771 m²,,,,,,,,,,,,,,,,,,,,,771 m²,,,,,,,,,,,,,
Piso en Carrer de l'Església,HIPOGES IBERIA,1.794 €/m²,140.000 €,78 m²,https://www.pisos.com/comprar/piso-vallirana_centro_urbano-51736311468_100700/,Anuncio actualizado el 15/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),78 m²,,,,,GTRE-00569,,,,,,,78 m²,2ª,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet en Bajo Llobregat,IAD ESPAÑA,1.733 €/m²,820.000 €,473 m²,https://www.pisos.com/comprar/chalet-el_torrent_ballester_can_palmer_can_batllori-50032398775_108700/,Anuncio actualizado el 18/01/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),473 m²,5,3,Más de 50 años,,UVC882-30455,,,,N/A,N/A,,473 m²,,,,,,,,,,,,,,,,,,,,,903 m²,,,,,,,,,,,,,
