nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Exterior,Antigüedad,Conservación,Gastos de comunidad,Referencia,Carpintería exterior,Gas,Calefacción,Lavadero,Balcón,Orientación,Superficie solar,Amueblado,Armarios empotrados,Vidrios dobles,Tipo suelo,Teléfono,Aire acondicionado,Chimenea,Cocina equipada,Comedor,Garaje,Puerta blindada,Sistema de seguridad,Terraza,Jardín,Piscina,Urbanizado,Calle alumbrada,Calle asfaltada,Se aceptan mascotas,Ascensor,Agua,Soleado,Carpintería interior,Portero automático,Adaptado a personas con movilidad reducida,Luz,Trastero,Tipo de casa,Interior,No se aceptan mascotas
Piso en 2A Línia de Mar,FIRHABIT,2.534 €/m²,185.000 €,73 m²,https://www.pisos.com/comprar/piso-arenys_de_mar_centro_urbano-47516180274_100500/,Anuncio actualizado el 11/02/2025,"E, E","E, E",maresme (BCN),73 m²,,3,1,2ª,,Más de 50 años,En buen estado,,SA1305-PV0999,,,Gas natural,N/A,N/A,,,,,,Gres,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa adosada en Sant Pol 2000,PREMIUM HOUSES,3.095 €/m²,650.000 €,210 m²,https://www.pisos.com/comprar/casa_adosada-sant_pol_de_mar_centro_urbano-51702122042_100500/,Anuncio actualizado el 20/02/2025,"G, F","G, F",maresme (BCN),210 m²,180 m²,5,3,,,Entre 30 y 50 años,,Más de 100 €,SA1393-PH103280/3699,,,Gas natural,,,Sur,,,1,,,,N/A,N/A,,N/A,1,,,N/A,N/A,Comunitaria,,,,,,N/A,,,,,,,Adosada,,
Piso en Centre,Engel & Völkers MMC Barcelona,2.819 €/m²,265.000 €,94 m²,https://www.pisos.com/comprar/piso-pineda_de_mar_centre-5178674944_109700/,Anuncio actualizado el 04/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),94 m²,,3,2,1ª,,,A estrenar,,IF76306-D-000LP5,,,,,N/A,Al mar,,,,,,,Frío y calor,,N/A,,N/A,,,N/A,,,,,,,,,,,,N/A,,,,,
Piso en Riera del Pare Fita,FINQUES LA RIERA,3.487 €/m²,279.000 €,80 m²,https://www.pisos.com/comprar/piso-arenys_de_mar_centro_urbano-10854626524_100500/,Anuncio actualizado el 05/12/2024,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),80 m²,54 m²,2,2,2ª,,Menos de 5 años,,,SA1488-P-193/6526,,,N/A,,N/A,Este,,,,,,,N/A,,,N/A,,N/A,,,,,,,,,N/A,N/A,,,,,,,,,
"Casa en Avinguda de Diagonal, 1",Finques LM,1.409 €/m²,310.000 €,220 m²,https://www.pisos.com/comprar/casa-urbanitzacions_niagara_parc_agora_parc_roca_rossa-34255340830_501491/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),220 m²,,4,2,,,Entre 20 y 30 años,En buen estado,,501491-703,Aluminio,,Eléctrica,,,Suroeste,800 m²,,,,Gres,,,N/A,N/A,N/A,,,,N/A,Privado,,N/A,N/A,N/A,N/A,,,,,,,,,,,
Casa en Sant Pol de Mar,TOP HOUSE CONSULTING,1.112 €/m²,625.000 €,562 m²,https://www.pisos.com/comprar/casa-sant_pol_de_mar_centro_urbano-50915126173_108900/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),562 m²,,7,3,,,,A reformar,,XA722-1308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa adosada en Tiana,Engel & Völkers MMC Barcelona,3.125 €/m²,1.050.000 €,336 m²,https://www.pisos.com/comprar/casa_adosada-tiana_centro_urbano08391-4846843252_109700/,Anuncio actualizado el 18/12/2024,"A, A","A, A",maresme (BCN),336 m²,,5,4,,,,A estrenar,,IF76306-D-000HAK,Aluminio,,,,,,,,Más de 2,,Parquet,,Frío y calor,,N/A,,N/A,,,N/A,Privado,,,,,,,,,,,,,,Adosada,,
Piso en Camí de Can Pons,SIMURBA,2.951 €/m²,245.000 €,83 m²,https://www.pisos.com/comprar/piso-vilassar_de_dalt_centro_urbano-49224709786_990014/,Anuncio actualizado el 20/02/2025,"A, A","A, A",maresme (BCN),83 m²,73 m²,3,2,Bajo,N/A,Menos de 5 años,A estrenar,,4990014-5172 BJ2,,,,,,,,,,,Parquet,,Frío y calor,,N/A,N/A,,,,,,,,,,N/A,N/A,,,,,N/A,,,,,
Piso en Centro,PROMOFINCAS,3.053 €/m²,287.000 €,94 m²,https://www.pisos.com/comprar/piso-calella_centro_urbano08370-32532660198_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),94 m²,90 m²,3,2,Bajo,,Entre 10 y 20 años,,,SA2132-Pis0295/7502,,,Gas natural,,,Este,,,1,,,,N/A,,,,,,,N/A,,,,,,,N/A,,,,,,,,,,
Casa en Centro,PROMOFINCAS,1.388 €/m²,150.000 €,108 m²,https://www.pisos.com/comprar/casa-tordera_nucli_urba-41755969103_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),108 m²,48 m²,3,2,,,Más de 50 años,,,SA2132-IF-223/7502,,,N/A,,,,212 m²,,,,Gres,,,N/A,,,,,,,N/A,,,,,,,N/A,,,,,,,,,
"Piso en Ronda Cervantes, 19",VIA CELERE,2.657 €/m²,393.300 €,148 m²,https://www.pisos.com/comprar/piso-havana08301-5008856508_109700/,Anuncio actualizado el 18/12/2024,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),148 m²,,4,2,,,,A estrenar,,4993266-0012,,,,,,,,,2,,,,,,N/A,,N/A,N/A,,N/A,,,,,,,N/A,,,,,,,N/A,,,
Piso en Vilassar de Mar,TECNOCASA VILASSAR,3.632 €/m²,454.000 €,125 m²,https://www.pisos.com/comprar/piso-vilassar_de_mar_centro_urbano-51703897367_100200/,Anuncio actualizado el 11/02/2025,"E, E","E, E",maresme (BCN),125 m²,,3,2,3ª,,Entre 30 y 50 años,En buen estado,,TC213-609341,,,,,,,,,,,,,,,N/A,,,,,N/A,,,,,,,,,,,,,,,,,
"Piso en Ronda de Joan Peiró,  s/n",URBENIA,3.506 €/m²,270.000 €,77 m²,https://www.pisos.com/comprar/piso-mataro_cirera-4760275389_109700/,Anuncio actualizado el 18/12/2024,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),77 m²,,3,2,1ª,,,A estrenar,,EP1014-21404418,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,N/A,,,,,,,,,,
Piso en Centre,CINTO FURQUET SERVEIS INMOBILIARIS,3.717 €/m²,290.000 €,78 m²,https://www.pisos.com/comprar/piso-mataro_centre08302-47589303188_517255/,Anuncio actualizado el 12/02/2025,"E, E","E, E",maresme (BCN),78 m²,65 m²,3,1,6ª,N/A,Más de 50 años,Reformado,Entre 40 y 60 €,517255-MTR300924,Aluminio,,Eléctrica,,,Este,,,,N/A,Parquet,,Frío y calor,,Con pasaplatos,Con salida a terraza,,N/A,,N/A,,,,,,,N/A,,N/A,Madera,N/A,,,,,,
Casa unifamiliar en Sant Cebrià de Vallalta,TECNOCASAMATARO CENTRE PISOS,2.352 €/m²,200.000 €,85 m²,https://www.pisos.com/comprar/casa_unifamiliar-sant_cebria_de_vallalta_centro_urbano-51746303540_100200/,Anuncio actualizado el 08/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),85 m²,,3,1,,,Entre 30 y 50 años,En buen estado,,TC215-609225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unifamiliar,,
Piso en Rocafonda,URBAN LLARS,2.469 €/m²,199.999 €,81 m²,https://www.pisos.com/comprar/piso-rocafonda08304-49219708926_100500/,Anuncio actualizado el 12/12/2024,"F, B","F, B",maresme (BCN),81 m²,,3,2,5ª,,Más de 50 años,,,SA5026-0255/5781,,,Gas natural,,,Noroeste,,N/A,1,,,,N/A,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,
Casa adosada en Centro,PREMIUM HOUSES,2.457 €/m²,870.000 €,354 m²,https://www.pisos.com/comprar/casa_adosada-vilassar_de_dalt_centro_urbano-50834309439_100500/,Anuncio actualizado el 20/02/2025,"E, E","E, E",maresme (BCN),354 m²,225 m²,3,4,,,,,,SA1393-PH103349/3699,,,Gas natural,,,Sureste,,N/A,1,,Parquet,,N/A,,,N/A,1,N/A,,N/A,N/A,Propia,,,,,,N/A,,,,,,N/A,Adosada,,
"Piso en Ronda de Barceló, 49",PREMIER ESPAÑA,3.173 €/m²,365.000 €,115 m²,https://www.pisos.com/comprar/piso-mataro_eixample-5100685619_109700/,Anuncio actualizado el 18/02/2025,"A, A","A, A",maresme (BCN),115 m²,,3,2,,,,A estrenar,,4992912-21732518,,,Gas natural,,,,,,,,,,Frío y calor,,,,,,,N/A,,,,,,,N/A,,,,,,,,,,
Piso en Centre,TECNOCASAMATARO CENTRE PISOS,2.692 €/m²,315.000 €,117 m²,https://www.pisos.com/comprar/piso-mataro_centre08301-49217917924_100200/,Anuncio actualizado el 25/01/2025,"E, D","E, D",maresme (BCN),117 m²,,3,3,,,Entre 20 y 30 años,En buen estado,,TC215-600331,,,,,,,,,,,Parquet,,N/A,,,,,,,,,,,,,,,,,,,,,,,,
Chalet en Urbanitzacions Terrabrava-Tordera Parc,Flamat Malgrat de Mar,2.535 €/m²,180.000 €,71 m²,https://www.pisos.com/comprar/chalet-urbanitzacions_terrabrava_tordera_parc-51673125474_100500/,Anuncio actualizado el 14/02/2025,"E, E","E, E",maresme (BCN),71 m²,,3,1,,,Más de 50 años,En buen estado,,SA5694-107277694,,,,,,,592 m²,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,
Casa pareada en El Masnou,"PISOS DEL MASNOU, S.L.",2.196 €/m²,380.000 €,173 m²,https://www.pisos.com/comprar/casa_pareada-el_masnou_centro_urbano-48393520981_100200/,Anuncio actualizado el 20/02/2025,"E, E","E, E",maresme (BCN),173 m²,,4,3,,,Más de 50 años,En buen estado,,TC207-599071,,,Central,,,,,,,,,,,,N/A,,,,,N/A,,,,,,,,,,,,,,,Pareada,,
Piso en El Masnou,"PISOS DEL MASNOU, S.L.",3.650 €/m²,219.000 €,60 m²,https://www.pisos.com/comprar/piso-el_masnou_centro_urbano-45082320266_100200/,Anuncio actualizado el 17/02/2025,"E, E","E, E",maresme (BCN),60 m²,,1,1,1ª,,Más de 50 años,En buen estado,,TC207-587527,,,Central,,,,,,,,,,,,N/A,,,,,N/A,,,,,,,N/A,,,,,,,,,,
Casa en Pueblo,PROMOFINCAS,2.495 €/m²,262.000 €,105 m²,https://www.pisos.com/comprar/casa-malgrat_de_mar_centro_urbano-39235637983_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),105 m²,90 m²,3,2,,,Entre 20 y 30 años,,,SA2132-Promo1120/7502,,,N/A,,,Sur,1.048 m²,,,,Gres,,N/A,N/A,,,,N/A,,N/A,N/A,,,,,,,,,,,,,,,,
Piso en Centre,Engel & Völkers MMC Barcelona,3.125 €/m²,175.000 €,56 m²,https://www.pisos.com/comprar/piso-pineda_de_mar_centre-5203980467_109700/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),56 m²,,2,1,,,,A estrenar,,IF76306-D-000MMY,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,
Casa en Can Torrent-Alta Maresma-Can Gelat,PROMOFINCAS,2.447 €/m²,399.000 €,163 m²,https://www.pisos.com/comprar/casa-santa_susanna_centro_urbano-20072335141_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),163 m²,145 m²,3,3,,,Entre 20 y 30 años,,,SA2132-VH002972001/7502,,,N/A,,,Sureste,418 m²,,1,,,N/A,,N/A,,,1,N/A,,N/A,N/A,Propia,,,,,,N/A,,,,,,N/A,,,
Piso en Camí de Can Pons,SIMURBA,3.310 €/m²,245.000 €,74 m²,https://www.pisos.com/comprar/piso-vilassar_de_dalt_centro_urbano-49231835062_990014/,Anuncio actualizado el 20/02/2025,"A, A","A, A",maresme (BCN),74 m²,64 m²,2,2,Bajo,N/A,Menos de 5 años,A estrenar,,4990014-5172 BJ1,,,,,,,,,,,Parquet,,Frío y calor,,N/A,N/A,,,,,,,,,,N/A,N/A,,,,,N/A,,,,,
Piso en Peramas,URBAN LLARS,2.518 €/m²,199.000 €,79 m²,https://www.pisos.com/comprar/piso-mataro_eixample-49207340711_100500/,Anuncio actualizado el 12/12/2024,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),79 m²,,3,1,2ª,,Más de 50 años,,,SA5026-0262/5781,,,N/A,,N/A,Este,,,,,Gres,,,,,,,,,N/A,,,,,,,,,,,,,,,,,
Chalet en Teià,GP CASA VILASSAR,7.211 €/m²,3.000.000 €,416 m²,https://www.pisos.com/comprar/chalet-teia_centro_urbano-50087408158_517277/,Anuncio actualizado el 23/01/2025,"D, D","D, D",maresme (BCN),416 m²,350 m²,3,3,,,Entre 5 y 10 años,En buen estado,,4517277-GP831,Aluminio,,Central,,,Sureste,850 m²,,,N/A,Parquet,,Frío y calor,,,,,,,N/A,Privado,Propia,,,,,,,,,,,,,,,
Casa en Santa Susanna,PROMOFINCAS,1.979 €/m²,485.000 €,245 m²,https://www.pisos.com/comprar/casa-santa_susanna_centro_urbano-42512066927_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),245 m²,217 m²,4,3,,,Entre 20 y 30 años,,,SA2132-VH00832200/7502,,,N/A,,,Sureste,840 m²,,1,,Gres,,N/A,,,,1,,,N/A,N/A,,N/A,,,,,N/A,,,,,,,,,
Casa en Milans del Bosc,PREMIUM HOUSES,3.207 €/m²,850.000 €,265 m²,https://www.pisos.com/comprar/casa-sant_vicenc_de_montalt_centro_urbano-50044031039_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),265 m²,240 m²,4,4,,,Entre 30 y 50 años,,,SA1393-PH103340/3699,,,Gas natural,,,Sur,1.383 m²,,1,,Gres,,,N/A,,,1,,,,N/A,Propia,,,,,,,,,,,,,,,
Casa adosada en Sant Vicenç de Montalt,Access Home Real Estate - Sant Vicenç de Montalt,1.890 €/m²,536.900 €,284 m²,https://www.pisos.com/comprar/casa_adosada-sant_vicenc_de_montalt_centro_urbano-49225624330_108900/,Anuncio actualizado el 15/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),284 m²,,4,4,,,,En buen estado,Más de 100 €,XA642-3953,,,Gas natural,,,,,,,,,,,Salón,N/A,,2,,N/A,N/A,,Comunitaria,,,,,,,,,,,,,Adosada,,
Chalet en Urbanitzacions Terrabrava-Tordera Parc,Flamat Malgrat de Mar,1.070 €/m²,349.000 €,326 m²,https://www.pisos.com/comprar/chalet-urbanitzacions_terrabrava_tordera_parc-51739604918_100500/,Anuncio actualizado el 14/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),326 m²,293 m²,5,3,,,Entre 30 y 50 años,En buen estado,,SA5694-107248017,,,,,,,1.500 m²,,1,,,,N/A,,,,,,,N/A,N/A,N/A,,,,,,,,,,N/A,,N/A,,,
Casa adosada en Camino de los Franceses,PREMIUM HOUSES,3.266 €/m²,735.000 €,225 m²,https://www.pisos.com/comprar/casa_adosada-tiana_centro_urbano08391-44224827861_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),225 m²,192 m²,4,3,,,Entre 30 y 50 años,,,SA1393-PH103106/3699,,,Gas natural,,,Oeste,,,1,,,N/A,N/A,N/A,,,1,N/A,,N/A,N/A,Comunitaria,,,,,,N/A,,,,,,N/A,Adosada,,
Piso en Els Garrofers,PREMIUM HOUSES,3.317 €/m²,345.000 €,104 m²,https://www.pisos.com/comprar/piso-sant_pol_de_mar_centro_urbano-50002284964_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),104 m²,89 m²,3,2,Bajo,,Entre 20 y 30 años,,,SA1393-PH103341/3699,,,Gas natural,,,Este,,,,,Parquet,N/A,,,,,,,,N/A,,,,,,,N/A,N/A,,,,,,,,,
Casa en Poblenou,PROMOFINCAS,1.900 €/m²,230.000 €,121 m²,https://www.pisos.com/comprar/casa-can_more_santa_anna-47557202064_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),121 m²,87 m²,3,2,,,Más de 50 años,,,SA2132-PromoGarb005/7502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
Piso en Calella,URBENIA,2.419 €/m²,150.000 €,62 m²,https://www.pisos.com/comprar/piso-calella_centro_urbano08370-50880338807_109300/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),62 m²,50 m²,2,1,,N/A,,En buen estado,Entre 20 y 40 €,EP1014-98084,,,,,,,,N/A,,,,,,,N/A,,,,,N/A,,Comunitaria,,,,,N/A,N/A,,,,,,,,,
Piso en Calella,URBENIA,1.959 €/m²,145.000 €,74 m²,https://www.pisos.com/comprar/piso-calella_centro_urbano08370-47585973434_109300/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),74 m²,70 m²,3,1,3ª,N/A,,En buen estado,,EP1014-95826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa adosada en Palafolls,Engel & Völkers MMC Barcelona,3.170 €/m²,529.500 €,167 m²,https://www.pisos.com/comprar/casa_adosada-palafolls_centro_urbano-5263415491_109700/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),167 m²,,3,3,,,,A estrenar,,IF76306-D-000LTD,,,,,,,,,Más de 2,,,,Frío y calor,,N/A,,N/A,,,,Privado,N/A,,,,,,,,,,N/A,,,Adosada,,
Chalet en Altres Urbanitzacions,HOGAREÑOS,2.681 €/m²,590.000 €,220 m²,https://www.pisos.com/comprar/chalet-altres_urbanitzacions08304-45921033748_525213/,Anuncio actualizado el 20/02/2025,"G, G","G, G",maresme (BCN),220 m²,220 m²,4,2,,,Entre 30 y 50 años,Reformado,,525213-590URBC,Aluminio,,Gasoil,N/A,,A la montaña,960 m²,N/A,2,N/A,Parquet,N/A,Frío y calor,N/A,N/A,N/A,2,N/A,N/A,N/A,Privado,Propia,N/A,N/A,N/A,N/A,,,,,,N/A,,,,,
Piso en Sant Pol de Mar,Corp Promotores,4.393 €/m²,290.000 €,66 m²,https://www.pisos.com/comprar/piso-sant_pol_de_mar_centro_urbano-5149397239_109700/,Anuncio actualizado el 13/01/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),66 m²,,2,2,Bajo,,,A estrenar,,4994285-21697515,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,
Piso en Arenys de Mar,FINQUES LA RIERA,2.464 €/m²,175.000 €,71 m²,https://www.pisos.com/comprar/piso-arenys_de_mar_centro_urbano-51706600850_100500/,Anuncio actualizado el 19/02/2025,"G, G","G, G",maresme (BCN),71 m²,68 m²,3,1,3ª,,Más de 50 años,,,SA1488-P-514/6526,,,,,,Oeste,,,1,,Gres,,,,,N/A,,,N/A,N/A,,,,,,,,N/A,,,,,,,,,
Piso en Calella,URBENIA,2.733 €/m²,287.000 €,105 m²,https://www.pisos.com/comprar/piso-calella_centro_urbano08370-47593591754_109300/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),105 m²,95 m²,3,2,1ª,N/A,,En buen estado,Entre 40 y 60 €,EP1014-94724,,,,,,,,,,,,,,,N/A,,,,,N/A,,,,,,,N/A,N/A,,,,,,N/A,,,
Ático en Arenys de Munt,URBENIA,2.028 €/m²,215.000 €,106 m²,https://www.pisos.com/comprar/atico-arenys_de_munt_centro_urbano-47596959029_109300/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),106 m²,88 m²,3,2,5ª,N/A,,En buen estado,,EP1014-91856,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,N/A,,,,,,,,,
Piso en Cabrera de Mar,MONAPART,4.687 €/m²,450.000 €,96 m²,https://www.pisos.com/comprar/piso-cabrera_de_mar_centro_urbano-4972628790_109700/,Anuncio actualizado el 10/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),96 m²,,3,2,1ª,,,A estrenar,,IF76872-MC0012-4361,,,,,N/A,Noreste,,,,,,,,,,,,,,N/A,,,,,,,N/A,,,,,,,,,,
Piso en Centre,Engel & Völkers MMC Barcelona,2.894 €/m²,165.000 €,57 m²,https://www.pisos.com/comprar/piso-pineda_de_mar_centre-5179857709_109700/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),57 m²,,1,1,,,,A estrenar,,IF76306-D-000MMY,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,
Piso en St.V. Montalt,URBENIA,2.971 €/m²,315.000 €,106 m²,https://www.pisos.com/comprar/piso-sant_vicenc_de_montalt_centro_urbano-47559215837_109300/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),106 m²,,4,2,2ª,N/A,,En buen estado,Más de 100 €,EP1014-96978,,,,,,,,,,,,,,,N/A,,,,,N/A,,Comunitaria,,,,,N/A,N/A,,,,,,,,,
Casa en Sant Daniel,FINQUES TARRADELLAS,1.334 €/m²,415.000 €,311 m²,https://www.pisos.com/comprar/casa-urbanitzacions_el_mas_mora_sant_daniel_blanes_mar-13371378700_127900/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),311 m²,311 m²,3,4,,,Entre 10 y 20 años,En buen estado,No tiene,1279-020183,Aluminio,,Central,N/A,,A la montaña,1.065 m²,,2,N/A,Gres,,Frío y calor,N/A,20 m² abierta en comedor,25 m²,Más de 2,N/A,,N/A,Privado,,N/A,N/A,N/A,,,,,Cedro,,,,,,,
Casa en Sant Vicenç de Montalt,Durán Carasso,5.252 €/m²,1.875.000 €,357 m²,https://www.pisos.com/comprar/casa-sant_vicenc_de_montalt_centro_urbano-46746238950_105600/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),357 m²,,5,6,,,,,,BM201-5648,,,,,,,1.818 m²,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,
Chalet en Urbanización L`Ajup,FINQUES LA RIERA,3.235 €/m²,1.100.000 €,340 m²,https://www.pisos.com/comprar/chalet-arenys_de_munt_centro_urbano-51681859680_100500/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),340 m²,,9,5,,,Más de 50 años,,,SA1488-T-85/6526,,,Gas natural,,,Oeste,599 m²,,1,,Parquet,,,N/A,,,1,N/A,,N/A,N/A,Propia,N/A,,,,,N/A,,,,,,N/A,,,
Casa en Can Massuet del Far,Assessors Dupre I Fernandez,3.523 €/m²,370.000 €,105 m²,https://www.pisos.com/comprar/casa-dosrius_centro_urbano-49229109746_100500/,Anuncio actualizado el 20/02/2025,"E, E","E, E",maresme (BCN),105 m²,94 m²,4,2,,,Entre 30 y 50 años,,,SA5063-CANM14/11035,,,,,,,650 m²,,,,,N/A,,N/A,,,1,N/A,,N/A,,Propia,N/A,,,,,N/A,,,,,,N/A,,,
Piso en Dosrius,MONAPART,3.375 €/m²,324.000 €,96 m²,https://www.pisos.com/comprar/piso-dosrius_centro_urbano-4841682770_109700/,Anuncio actualizado el 10/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),96 m²,,3,2,2ª,,,A estrenar,,IF76872-MI0126-3267,,,,,N/A,,,,,,Parquet,,,,N/A,,N/A,,,,,,,,,,,,,,,,,N/A,,,
Casa en Urbanitzacions,URBENIA,2.192 €/m²,285.000 €,130 m²,https://www.pisos.com/comprar/casa-sant_cebria_de_vallalta_centro_urbano-47598811735_109300/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),130 m²,112 m²,4,2,,,,En buen estado,Más de 100 €,EP1014-96893,,,,,,,,,,,,,,N/A,,,1,,,N/A,,Comunitaria,,,,,,N/A,,,,,,,,,
Ático en Carrer de Sant Antoni Maria Claret,SIMURBA,3.006 €/m²,950.000 €,316 m²,https://www.pisos.com/comprar/atico-montgat_centro_urbano-50091905454_990014/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),316 m²,95 m²,3,2,8ª,N/A,Menos de 5 años,A estrenar,,4990014-5190 A72,,,,,,,,,,,Parquet,,Frío y calor,,N/A,N/A,2,,,N/A,Comunitario,Comunitaria,,,,N/A,N/A,,N/A,,,,,N/A,,,
Casa adosada en calle Residencial Lourdes,FINQUES RIELLS I VIABREA,3.250 €/m²,390.000 €,120 m²,https://www.pisos.com/comprar/casa_adosada-arenys_de_munt_centro_urbano-44228299489_511708/,Anuncio actualizado el 10/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),120 m²,120 m²,4,3,,,Entre 10 y 20 años,En buen estado,,511708-VC2423,Aluminio,,,N/A,,Sur,50 m²,,2,,Gres,,,Salon comedor,N/A,N/A,1,,,25,Comunitario,Comunitaria,,N/A,N/A,N/A,,,,Aluminio,,,,,Adosada,,
"Ático en Avinguda del Maresme,  s/n",CULMIA,3.361 €/m²,595.000 €,177 m²,https://www.pisos.com/comprar/atico-mataro_centre08301-5259474046_109700/,Anuncio actualizado el 14/02/2025,"B, B","B, B",maresme (BCN),177 m²,,4,3,1ª,,,A estrenar,,-PR08001,,,,,,,,,,,,,,,,,N/A,,,N/A,,,,,,,N/A,,,,,,,N/A,,,
Casa en St.V. Montalt,URBENIA,2.507 €/m²,800.000 €,319 m²,https://www.pisos.com/comprar/casa-sant_vicenc_de_montalt_centro_urbano-47552460444_109300/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),319 m²,,5,3,,,,,,EP1014-23477,,,,,,,,,,,,,,,N/A,,,,,N/A,,Propia,,,,,,,,,,,,,,,
"Piso en Avinguda de Ernest Lluch, 1",VIA CELERE,3.176 €/m²,451.100 €,142 m²,https://www.pisos.com/comprar/piso-el_rengle-4912256471_109700/,Anuncio actualizado el 22/01/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),142 m²,,3,2,13ª,,,A estrenar,,4993266-0311,,,,,,,,,,,,,,,,,N/A,,,N/A,,,,,,,N/A,,,,,,,N/A,,,
Piso en calle *,URBENIA,4.369 €/m²,284.000 €,65 m²,https://www.pisos.com/comprar/piso-via_europa08304-5004357273_109700/,Anuncio actualizado el 19/12/2024,"B, A","B, A",maresme (BCN),65 m²,,2,1,3ª,,,A estrenar,,EP1014-21650494,,,,,,,,,,,,,Frío y calor,,,,N/A,,,N/A,,,,,,,N/A,,,,,,,N/A,,,
Piso en Vilassar de Dalt,Engel & Völkers MMC Barcelona,3.804 €/m²,350.000 €,92 m²,https://www.pisos.com/comprar/piso-vilassar_de_dalt_centro_urbano-4873862885_109700/,Anuncio actualizado el 16/01/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),92 m²,,3,2,,,,A estrenar,,IF76306-D-000M98,,,,,,,,,,,,,Frío,,,,N/A,,,,,,,,,,,,,,,,,,,,
