nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Habitaciones,Baños,Planta,Conservación,Referencia,Ascensor,Terraza,Superficie útil,Exterior,Antigüedad,Gastos de comunidad,Carpintería interior,Tipo suelo,Carpintería exterior,Gas,Aire acondicionado,Calefacción,Cocina equipada,Comedor,Lavadero,Balcón,Orientación,Garaje,Piscina,Armarios empotrados,Vidrios dobles,Puerta blindada,Urbanizado,Calle alumbrada,Calle asfaltada,Agua,Superficie solar,Trastero,Jardín,Sistema de seguridad,Soleado,Se aceptan mascotas,Chimenea,Portero automático,Adaptado a personas con movilidad reducida,Interior,Tipo de casa,Teléfono,Amueblado,Luz,No se aceptan mascotas
Casa adosada en Centre,Toni Tió Pardo,1.326 €/m²,650.000 €,490 m²,https://www.pisos.com/comprar/casa_adosada-centre_covadonga_centre08201-49193026542_109300/,Anuncio actualizado el 09/12/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),490 m²,6,2,,,EP751-ECO,,N/A,175 m²,,,,,,,,,Gas ciudad,,,N/A,,,N/A,,N/A,,,,,,,,,,,,,,,,,Adosada,,,,
"Piso en calle Víctor Català y C/ Dels Boters,  S/N",CANO & PUJOL,3.348 €/m²,321.500 €,96 m²,https://www.pisos.com/comprar/piso-palau_solita_i_plegamans_centro_urbano-4888409012_109700/,Anuncio actualizado el 18/12/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),96 m²,3,2,2ª,A estrenar,EP1034-21509627,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Al Lado de Collserola y El Metro,donpiso Central,2.563 €/m²,282.000 €,110 m²,https://www.pisos.com/comprar/piso-can_cuias-50025615592_109100/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),110 m²,3,2,2ª,,FE4-289645,N/A,,98 m²,Exterior calle,,,,Gres,Aluminio,Otra compañía,,N/A,,,,N/A,Este,,,,,,,,,,,N/A,,,Por la mañana,,,,,,,,,,
Casa en Can Deu,NOVA FINQUES - CENTRO,2.079 €/m²,420.000 €,202 m²,https://www.pisos.com/comprar/casa-can_deu08207-44188252527_100500/,Anuncio actualizado el 08/11/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),202 m²,3,3,,,SA5144-CTR100075/11156,,N/A,159 m²,,Entre 30 y 50 años,,,Gres,,,N/A,Gas natural,,N/A,,,Norte,1,,1,,N/A,N/A,,,N/A,,N/A,N/A,,,,N/A,,,,,,,,
"Piso en Carrer de Sentmenat, nº -",ALTAMIRA,2.972 €/m²,220.000 €,74 m²,https://www.pisos.com/comprar/piso-sant_quirze_del_valles_centro_urbano-35011500799_103600/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),74 m²,2,1,,,AM9-2061##2061_0156_PE0001,,,63 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Mercat,CEDOS,2.341 €/m²,147.500 €,63 m²,https://www.pisos.com/comprar/piso-mercat-88381180308_370400/,Anuncio actualizado el 20/02/2025,"G, E","G, E",valles_occidental_sud (BCN),63 m²,3,1,3ª,En buen estado,3704-018537-8-A,N/A,,63 m²,N/A,Más de 50 años,,N/A,Parquet,Aluminio,,,,N/A,N/A,,,,,,,,,,,,,,,,,N/A,N/A,,,N/A,,,,,,
Piso en Junto Parc Catalunya,donpiso Central,2.514 €/m²,269.000 €,107 m²,https://www.pisos.com/comprar/piso-la_serra_en_camero08206-45050321114_109100/,Anuncio actualizado el 30/01/2025,"A, A","A, A",valles_occidental_sud (BCN),107 m²,2,2,,,FE43-210756,N/A,N/A,75 m²,Exterior calle,,,,Gres,Aluminio,,Con bomba de calor,Eléctrica,,,,,Noreste,,,,,,,,,,,,,,Por la mañana,,,,,,,,,,
Piso en Carrer de Borgonyó,"FINCAMPS, AICAT NUM. 212",3.836 €/m²,425.900 €,111 m²,https://www.pisos.com/comprar/piso-centre_covadonga_hostafrancs08206-45870339248_500190/,Anuncio actualizado el 05/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),111 m²,4,2,2ª,A estrenar,500190-051438,N/A,43m²,92 m²,N/A,Menos de 5 años,,Lacada blanca,Parquet,Aluminio,,Aerotérmia,Aerotérmia,,,,N/A,Sur,,,1,N/A,N/A,,,,,,N/A,,,N/A,,,N/A,N/A,,,,,,
Piso en Carrer de Sant Ferran,GESFIME,2.088 €/m²,259.000 €,124 m²,https://www.pisos.com/comprar/piso-distrito_gracia08205-51666794438_100500/,Anuncio actualizado el 10/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),124 m²,3,2,4ª,,SA892-8151/4521,N/A,,80 m²,,Entre 20 y 30 años,,,,,,,N/A,,,,,Norte,1,,1,,N/A,,,,N/A,,,,,,,,,,,,,,,
Piso en Carrer de Sant Josep,CENTURY 21 URBAN,2.666 €/m²,160.000 €,60 m²,https://www.pisos.com/comprar/piso-can_clos_els_pinetons08291-43333797728_107700/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),60 m²,3,1,,,VE20-0043-LIRE-04438,N/A,,60 m²,,Más de 50 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Can Puiggener,IMMOHABITAT,1.422 €/m²,101.000 €,71 m²,https://www.pisos.com/comprar/piso-can_puiggener08208-39238667209_100500/,Anuncio actualizado el 19/02/2025,"G, E","G, E",valles_occidental_sud (BCN),71 m²,3,1,4ª,,SA744-8021/2613,,,65 m²,,Más de 50 años,,,Gres,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Casa Contonera Reformada A 6 Minutos de los Fgc,donpiso Central,3.353 €/m²,389.000 €,116 m²,https://www.pisos.com/comprar/casa-can_feu08205-50073197848_109100/,Anuncio actualizado el 14/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),116 m²,4,2,,,FE4-289077,,N/A,,,,,,Gres,Aluminio,Otra compañía,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Campoamor,GESFIME,1.666 €/m²,175.000 €,105 m²,https://www.pisos.com/comprar/piso-la_creu_de_barbera08204-39185595915_100500/,Anuncio actualizado el 11/02/2025,"E, E","E, E",valles_occidental_sud (BCN),105 m²,3,2,2ª,,SA892-GESP425/4521,,,78 m²,,,,,Terrazo,,,,,,,,N/A,,,,,,,,,,N/A,,,,,,,,,,,,,,,
Piso en Carretera de Prats de Lluçanès,HIPOGES IBERIA,1.706 €/m²,107.500 €,63 m²,https://www.pisos.com/comprar/piso-la_creu_alta08208-50078554202_100700/,Anuncio actualizado el 12/12/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),63 m²,,,3ª,,FRRE-00059,,,63 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Ripollet,CENTURY 21 URBAN,1.557 €/m²,107.500 €,69 m²,https://www.pisos.com/comprar/piso-can_mas08291-45072121813_107700/,Anuncio actualizado el 21/11/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),69 m²,4,1,,,VE20-0043-AURE-30856,,,69 m²,,Más de 50 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Barberà del Vallès,CEDOS,2.065 €/m²,157.000 €,76 m²,https://www.pisos.com/comprar/piso-barbera_del_valles_centro_urbano-45909886924_370400/,Anuncio actualizado el 20/02/2025,"E, E","E, E",valles_occidental_sud (BCN),76 m²,3,1,Bajo,A reformar,3704-077320-AP,,,68 m²,,Más de 50 años,,,Gres,Aluminio,,,,N/A,N/A,,N/A,,,,,,,,,,,,N/A,,,N/A,N/A,,,,,,,,,
Piso en La Creu de Barbera,GESFIME,2.500 €/m²,195.000 €,78 m²,https://www.pisos.com/comprar/piso-les_termes08204-39246217972_100500/,Anuncio actualizado el 31/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),78 m²,2,1,Bajo,,SA892-8008/4521,,,70 m²,,,,,,,,N/A,N/A,,,,,Suroeste,,,,,N/A,,,,N/A,,,,,,,,,,,,,,,
"Piso en Plaça de Copèrnic, 5",CEDOS,2.261 €/m²,142.500 €,63 m²,https://www.pisos.com/comprar/piso-can_feu_la_serra_en_camero-70932002238_370400/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),63 m²,3,1,Bajo,Reformado,3704-018132-09-OK,,N/A,55 m²,N/A,Entre 30 y 50 años,,,Gres,,,,,N/A,N/A,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,
Chalet en Castellbisbal,Tu Mejor Hogar,2.107 €/m²,451.000 €,214 m²,https://www.pisos.com/comprar/chalet-castellbisbal_centro_urbano-48380094686_100500/,Anuncio actualizado el 28/11/2024,"G, G","G, G",valles_occidental_sud (BCN),214 m²,4,2,,En buen estado,SA3046-TMH-228,,,170 m²,,Entre 30 y 50 años,,,,,,Frío,,,,,,,1,,,,,,,,,554 m²,,,,,,,,,,,,,,
Piso en Plana del Castell,BEST HOUSE SANT CUGAT DEL VALLÈS,3.000 €/m²,192.000 €,64 m²,https://www.pisos.com/comprar/piso-sant_muc_castellnou_can_mir-43336397221_100500/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),64 m²,2,1,Bajo,,SA455-749011BH-SC/4182,N/A,,60 m²,,Entre 20 y 30 años,,,Parquet,,,,Gas natural,,,,,,,,1,,,,,,N/A,,,,,,,,,,,,N/A,,,
Piso en Vallés Occidental,IAD ESPAÑA,6.011 €/m²,535.000 €,89 m²,https://www.pisos.com/comprar/piso-martinica_ateneu-50888360367_108700/,Anuncio actualizado el 02/01/2025,"A, A","A, A",valles_occidental_sud (BCN),89 m²,3,2,,,UVC882-30980,N/A,N/A,89 m²,,Menos de 5 años,,,,,,N/A,N/A,,,,N/A,,,N/A,,,,,,,,,,N/A,,,,,,,,,,,,
Piso en Carrer de Maragall,Aliseda Inmobiliaria,1.601 €/m²,142.500 €,89 m²,https://www.pisos.com/comprar/piso-maragall-41729817797_105900/,Anuncio actualizado el 19/12/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),89 m²,3,1,,,AN1-ANT00030650284,N/A,N/A,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer d'Atlanta,HIPOGES IBERIA,2.053 €/m²,172.500 €,84 m²,https://www.pisos.com/comprar/piso-la_concordia08206-51731786164_100700/,Anuncio actualizado el 12/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),84 m²,,,4ª,,LIRE-03609,N/A,N/A,84 m²,,Más de 50 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Ripollet,AIZUS GROUP,1.215 €/m²,401.000 €,330 m²,https://www.pisos.com/comprar/casa-can_clos_els_pinetons08291-30019967218_106000/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),330 m²,3,2,,,NI417-4925,,,310 m²,,,,,Gres,Aluminio,,A/a f/c,N/A,Independiente - amueblada sin elec.,N/A,,,,,,,,,,,,Agua individual,,,,,,,,,,,,,,,
Piso en Carrer de les Camèlies,Aliseda Inmobiliaria,2.208 €/m²,212.000 €,96 m²,https://www.pisos.com/comprar/piso-can_cuias-41667594022_105900/,Anuncio actualizado el 19/12/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),96 m²,3,2,,,AN1-ANT00047720595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dúplex en Castellbisbal,CEDOS,2.278 €/m²,180.000 €,79 m²,https://www.pisos.com/comprar/duplex-castellbisbal_centro_urbano-44253286646_370400/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),79 m²,2,2,2ª,En buen estado,3704-025141-8,N/A,,67 m²,N/A,Entre 10 y 20 años,,,Parquet,Aluminio,,Frío y calor,,N/A,N/A,,N/A,,,,,,,,,,,,N/A,,,,,,,,,,,,,
Piso en La Plana del Pintor,IMMOHABITAT,932 €/m²,69.000 €,74 m²,https://www.pisos.com/comprar/piso-la_plana_del_pintor08207-49214129453_100500/,Anuncio actualizado el 19/02/2025,"G, G","G, G",valles_occidental_sud (BCN),74 m²,2,,3ª,,SA744-8041/2613,,,48 m²,,Más de 50 años,,,Terrazo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Avinguda d'Europa, 29",VIA CELERE,2.859 €/m²,343.150 €,120 m²,https://www.pisos.com/comprar/piso-mas_rampinyo_carrerada_mas_pomada-5216785220_109700/,Anuncio actualizado el 12/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),120 m²,3,2,,A estrenar,4993266-0274,N/A,N/A,,,,,,,,,,,,,,,,N/A,,,,,,,,,,N/A,,,,,,,,,,,,,
Piso en Centre,GC INMOBILIARIA,816 €/m²,49.000 €,60 m²,https://www.pisos.com/comprar/piso-ripollet_centre-48344008661_500120/,Anuncio actualizado el 12/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),60 m²,3,1,3ª,En buen estado,500120-80795-80729-E,,,60 m²,N/A,,,,Parquet,Aluminio,,Frío y calor,,N/A,N/A,N/A,,Sur,,,,,N/A,,,,,,,,N/A,,,,N/A,,,,,,,
Piso en Barri dels Merinals,GESFIME,1.956 €/m²,135.000 €,69 m²,https://www.pisos.com/comprar/piso-els_merinals08205-50883796413_100500/,Anuncio actualizado el 29/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),69 m²,3,1,3ª,,SA892-8143/4521,,,60 m²,,Más de 50 años,,,Gres,,,,N/A,,,,,Este,,,1,,,,,,N/A,,,,,,,,,,,,,,,
Casa en Carrer de Batllevell,Aliseda Inmobiliaria,1.145 €/m²,300.150 €,262 m²,https://www.pisos.com/comprar/casa-la_creu_alta08208-36755664210_107000/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),262 m²,4,2,,,AS1-40879694,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,
Dúplex en Carrer de Casp,130 Serveis Immobiliaris,1.976 €/m²,249.000 €,126 m²,https://www.pisos.com/comprar/duplex-ca_noriol-50855723447_517959/,Anuncio actualizado el 20/02/2025,"E, E","E, E",valles_occidental_sud (BCN),126 m²,3,2,2ª,En buen estado,517959-130-Rubi,,N/A,126 m²,N/A,Entre 30 y 50 años,,,,,,Frío y calor,Gas natural,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
"Chalet unifamiliar en Carrer del Mas Mitjans, 55",Agencia no disponible,2.198 €/m²,598.000 €,272 m²,https://www.pisos.com/comprar/chalet_unifamiliar-barbera_del_valles_centro_urbano-50047448373_109800/,Anuncio actualizado el 06/02/2025,"E, E","E, E",valles_occidental_sud (BCN),272 m²,6,3,,En buen estado,21674380,,N/A,210 m²,,Entre 30 y 50 años,N/A,,,Aluminio,,Frío y calor,Gas natural,N/A,,N/A,,,Más de 2,Propia,1,N/A,N/A,,,,,422 m²,,Privado,N/A,,,N/A,,,,,,,,
Piso en Avenida Doctor Guimbernat,Aliseda Inmobiliaria,2.015 €/m²,133.000 €,66 m²,https://www.pisos.com/comprar/piso-rubi_centre-41694164066_105900/,Anuncio actualizado el 19/12/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),66 m²,2,1,,,AN1-ANT00030669880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en La Creu de Barbera,IMMOHABITAT,3.254 €/m²,224.544 €,69 m²,https://www.pisos.com/comprar/piso-la_creu_de_barbera08204-49189396034_100500/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),69 m²,2,2,2ª,,SA744-I000526/2613,N/A,,60 m²,,Menos de 5 años,,,,,,,Gas natural,,,,,Sur,,,,,N/A,,,,,,,,,,,,,,,,,,,
Piso en Illa Sacra,CICLOACTIVOS S.L.,1.200 €/m²,72.000 €,60 m²,https://www.pisos.com/comprar/piso-les_termes-94226790895_991803/,Anuncio actualizado el 08/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),60 m²,2,1,2ª,En buen estado,4991803-32182,,,60 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Plaza de Gaudí,VIVANTIAL,2.090 €/m²,209.000 €,100 m²,https://www.pisos.com/comprar/piso-terra_nostra_font_pudenta-50900327548_109300/,Anuncio actualizado el 30/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),100 m²,,,1ª,,EP618-15006-2025,N/A,N/A,91 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,
Piso en Carrer Rambla,CEDOS,2.476 €/m²,260.000 €,105 m²,https://www.pisos.com/comprar/piso-centre_covadonga_centre08201-50097661466_370400/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),105 m²,2,2,2ª,En buen estado,3704-10154-10,,N/A,80 m²,,Más de 50 años,,N/A,Parquet,Madera,N/A,Frío y calor,Eléctrica,N/A,N/A,N/A,N/A,,,,,N/A,N/A,,,,,,,,,N/A,N/A,,N/A,,,,,,,
Chalet en Vallés Occidental,IAD ESPAÑA,3.766 €/m²,1.420.000 €,377 m²,https://www.pisos.com/comprar/chalet-bellaterra_distrito08193-48383463094_108700/,Anuncio actualizado el 23/11/2024,"A, A","A, A",valles_occidental_sud (BCN),377 m²,5,4,,,UVC882-28687,,N/A,377 m²,,Menos de 5 años,,,,,,N/A,N/A,,,,,,,N/A,,,,,,,,,,N/A,,,,,,,,,,,,
Piso en Carrer de Sant Ferran,CEDOS,3.118 €/m²,315.000 €,101 m²,https://www.pisos.com/comprar/piso-distrito_gracia08205-50871028776_370400/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),101 m²,3,2,2ª,A estrenar,3704-012029-12,N/A,,81 m²,N/A,Menos de 5 años,,,Parquet,PVC,,Aerotermia,Central,N/A,N/A,N/A,N/A,Sur,1,,,N/A,N/A,,,,,,,,,N/A,,,,,,,N/A,,,
Piso en Can Gambús,CEDOS,1.366 €/m²,82.000 €,60 m²,https://www.pisos.com/comprar/piso-sabadell_can_gambus-32539589873_370400/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),60 m²,3,1,4ª,En buen estado,3704-018118-09-ok,,,60 m²,,,,,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Torre Romeu,IMMOHABITAT,1.555 €/m²,98.000 €,63 m²,https://www.pisos.com/comprar/piso-torre_romeu08202-28369775500_100500/,Anuncio actualizado el 19/02/2025,"G, G","G, G",valles_occidental_sud (BCN),63 m²,3,1,Bajo,,SA744-7701/2613,N/A,,60 m²,,Más de 50 años,,,Gres,,,,Gas natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en La Plana del Pintor,Immobiliària Dalmases,932 €/m²,69.000 €,74 m²,https://www.pisos.com/comprar/piso-la_plana_del_pintor08207-45872457353_108500/,Anuncio actualizado el 04/02/2025,"E, F","E, F",valles_occidental_sud (BCN),74 m²,2,1,,,AG555-000264,,,49 m²,N/A,,,,,,,,,Individual,,,,Suroeste,,,,,,,,,,,,,,,,,,,,,,,,
Chalet en Vallés Occidental,IAD ESPAÑA,2.652 €/m²,451.000 €,170 m²,https://www.pisos.com/comprar/chalet-castellbisbal_centro_urbano-49222369681_108700/,Anuncio actualizado el 02/02/2025,"G, G","G, G",valles_occidental_sud (BCN),170 m²,4,3,,,UVC882-29960,,,170 m²,,Entre 30 y 50 años,,,,,,,,,,,,,,,,,,,,,,550 m²,,N/A,,,,,,,,,,,,
Piso en Carrer de Sant Sebastià,"FINCAMPS, AICAT NUM. 212",2.932 €/m²,217.000 €,74 m²,https://www.pisos.com/comprar/piso-distrito_gracia08203-51714923071_500190/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),74 m²,2,1,Bajo,En buen estado,500190-051466,N/A,,68 m²,N/A,Entre 20 y 30 años,Entre 40 y 60 €,,Parquet,Aluminio,,Frío y calor,Gas natural,Independiente,,En cocina,,,1,,,N/A,,,,,,,,,,,,,,,,,,,,
Casa en Les Termes,NOVA FINQUES - BARBERA DEL VALLES,3.319 €/m²,239.000 €,72 m²,https://www.pisos.com/comprar/casa-la_creu_de_barbera08204-50065592484_100500/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),72 m²,4,2,,,SA5149-BCN00152/11155,,N/A,,,,,,Gres,,,N/A,N/A,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,
Piso en Ronda del Ponent,"FINCAMPS, AICAT NUM. 212",4.250 €/m²,348.500 €,82 m²,https://www.pisos.com/comprar/piso-centre_covadonga_hostafrancs08206-50908023855_500190/,Anuncio actualizado el 15/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),82 m²,3,2,1ª,A estrenar,500190- 051480,N/A,,70 m²,N/A,Menos de 5 años,,N/A,Parquet,Aluminio,,Frío y calor,Central,,N/A,,N/A,Noroeste,,Comunitaria,1,N/A,,,,,,,,,,,N/A,,,,,,,,,
Piso en Passeig de Florida,HELLOFINCA.,3.525 €/m²,274.999 €,78 m²,https://www.pisos.com/comprar/piso-santa_perpetua_de_mogoda_centro_urbano-51706380430_527713/,Anuncio actualizado el 18/02/2025,"C, C","C, C",valles_occidental_sud (BCN),78 m²,3,2,4ª,Reformado,4527713-STA PERPETUA MOGODA,N/A,N/A,78 m²,N/A,Entre 20 y 30 años,Entre 80 y 100 €,N/A,Parquet,PVC,N/A,Frío,Gas natural,N/A,N/A,N/A,N/A,Este,1,Comunitaria,Más de 2,N/A,N/A,,,,,,N/A,Comunitario,,N/A,N/A,,N/A,N/A,,,N/A,,,
Piso en Vallés Occidental,IAD ESPAÑA,6.358 €/m²,585.000 €,92 m²,https://www.pisos.com/comprar/piso-martinica_ateneu-50844801764_108700/,Anuncio actualizado el 02/01/2025,"A, A","A, A",valles_occidental_sud (BCN),92 m²,3,2,,,UVC882-30987,N/A,N/A,92 m²,,Menos de 5 años,,,,,,N/A,N/A,,,,N/A,,,N/A,,,,,,,,,,N/A,,,,,,,,,,,,
Piso en La Roureda,IMMOHABITAT,2.150 €/m²,264.500 €,123 m²,https://www.pisos.com/comprar/piso-la_roureda08207-33400460751_100500/,Anuncio actualizado el 19/02/2025,"F, E","F, E",valles_occidental_sud (BCN),123 m²,4,2,1ª,,SA744-5941/2613,N/A,,90 m²,,Entre 30 y 50 años,,,Parquet,,,,,,,,N/A,,,,1,,,,,,,,,,,,,,,,,,,,,
Chalet en Vallés Occidental,IAD ESPAÑA,2.172 €/m²,239.000 €,110 m²,https://www.pisos.com/comprar/chalet-la_creu_alta08208-50839822422_108700/,Anuncio actualizado el 01/02/2025,"E, F","E, F",valles_occidental_sud (BCN),110 m²,4,1,,,UVC882-30552,,N/A,110 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer d'Anníbal,CICLOACTIVOS S.L.,1.209 €/m²,75.000 €,62 m²,https://www.pisos.com/comprar/piso-sabadell_centre-92532863361_991803/,Anuncio actualizado el 20/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),62 m²,3,1,3ª,En buen estado,4991803-31154,N/A,,62 m²,,Entre 30 y 50 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en La Creu Alta,"FINCAMPS, AICAT NUM. 212",2.161 €/m²,255.000 €,118 m²,https://www.pisos.com/comprar/piso-la_creu_alta-44184313536_500190/,Anuncio actualizado el 20/01/2025,"C, C","C, C",valles_occidental_sud (BCN),118 m²,3,2,7ª,En buen estado,500190-051331,N/A,,88 m²,N/A,Entre 20 y 30 años,,,Parquet,Aluminio,,Frío,Gas natural,N/A,N/A,N/A,,Sureste,,,2,N/A,,,,,,,,,N/A,N/A,N/A,,,,,,N/A,,,
Piso en Passatge de la Vinya,Aliseda Inmobiliaria,2.200 €/m²,165.000 €,75 m²,https://www.pisos.com/comprar/piso-ca_noriac08208-36680260563_107000/,Anuncio actualizado el 25/12/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),75 m²,,,,,AS1-52716555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Centre,GESFIME,4.345 €/m²,239.000 €,55 m²,https://www.pisos.com/comprar/piso-centre_covadonga_centre08201-42513330840_100500/,Anuncio actualizado el 24/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),55 m²,2,1,Bajo,,SA892-8041/4521,,,49 m²,,,,,,,,N/A,N/A,,,,,Este,,,,,,,,,N/A,,,,,,,,,,,,,,,
Piso en El Besos I El Maresme,BEST HOUSE BARCELONA SANTS,1.600 €/m²,104.000 €,65 m²,https://www.pisos.com/comprar/piso-barbera_del_valles_centro_urbano-15019840118_100500/,Anuncio actualizado el 01/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),65 m²,2,1,Bajo,,SA431-656317/5661,,,65 m²,,Más de 50 años,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,
Piso en Can Rull,IMMOHABITAT,868 €/m²,105.900 €,122 m²,https://www.pisos.com/comprar/piso-can_rull08206-51760588794_100500/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),122 m²,3,1,3ª,,SA744-K-8318/2613,,,,,Entre 30 y 50 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Les Termes,Hounting,1.890 €/m²,138.000 €,73 m²,https://www.pisos.com/comprar/piso-les_termes08204-45029940437_100500/,Anuncio actualizado el 17/07/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),73 m²,3,1,2ª,En buen estado,SA5364-2110/21100037/5,,,,N/A,,,,,,,,,N/A,,,,,,,,,,,,,N/A,,,,,,N/A,,,,,,,,,
"Piso en Carrer de Cantabria, 20",AEDAS HOMES,3.260 €/m²,238.000 €,73 m²,https://www.pisos.com/comprar/piso-barbera_del_valles_centro_urbano-5148740034_109700/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),73 m²,2,2,5ª,A estrenar,-a0P1v00000yhXdGEAU,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en La Creu de Barberà,FINCAS TORRENT,767 €/m²,346.000 €,451 m²,https://www.pisos.com/comprar/casa-la_creu_de_barbera08204-32562992244_101800/,Anuncio actualizado el 23/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),451 m²,4,1,,,IF7353-1029,,N/A,,,,,,,,,,Central,N/A,,N/A,,,1,,,,,,,,,,N/A,,,,,,,,,,,,,
