nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Superficie solar,Habitaciones,Baños,Antigüedad,Referencia,Terraza,Jardín,Piscina,Planta,Exterior,Conservación,Gastos de comunidad,Tipo suelo,Aire acondicionado,Calefacción,Cocina equipada,Ascensor,Balcón,Orientación,Agua,Chimenea,Comedor,Garaje,Urbanizado,Puerta blindada,Trastero,Carpintería interior,Vidrios dobles,Carpintería exterior,Portero automático,Sistema de seguridad,Gas,Teléfono,Adaptado a personas con movilidad reducida,Soleado,Lavadero,Calle alumbrada,Calle asfaltada,Se aceptan mascotas,Armarios empotrados,Tipo de casa,No se aceptan mascotas,Interior,Amueblado,Luz
Piso en Sant Julià,Hounting,1.317 €/m²,141.000 €,107 m²,https://www.pisos.com/comprar/piso-sant_julia-45012294617_100500/,Anuncio actualizado el 19/08/2024,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),107 m²,,,4,1,Más de 50 años,SA5364-2110/21100047/6,N/A,,,4ª,N/A,En buen estado,,Gres,,,N/A,,,,N/A,,,,,,,,,,,,,,,,,,,N/A,,,,,,
Casa en Can Coral,FINQUES SIP,2.253 €/m²,187.000 €,83 m²,https://www.pisos.com/comprar/casa-torrelles_de_foix_centro_urbano-44211092965_100500/,Anuncio actualizado el 20/02/2025,"E, E","E, E",alt_penedes (BCN),83 m²,73 m²,650 m²,3,1,Entre 30 y 50 años,SA5343-009185/9669,,,,,,,,,,N/A,,,,,,N/A,,1,N/A,N/A,,,,,,,,,,,,,,,,,,,N/A,
Casa en Sant Quintí de Mediona,INMOIBERIA,1.013 €/m²,76.000 €,75 m²,https://www.pisos.com/comprar/casa-sant_quinti_de_mediona_centro_urbano-48356420735_527269/,Anuncio actualizado el 27/01/2025,"E, E","E, E",alt_penedes (BCN),75 m²,63 m²,,1,1,Más de 50 años,527269-9001-1-21857,,,,,,En buen estado,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dúplex en Carrer de Sant Antoni,CENTURY 21 Xarxa,1.683 €/m²,178.500 €,106 m²,https://www.pisos.com/comprar/duplex-sant_llorenc_hortons_centro_urbano-50847883355_107700/,Anuncio actualizado el 27/01/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),106 m²,86 m²,,3,2,,VE98-C0128-SBRE-0119430,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Montserrat,CICLOACTIVOS S.L.,1.125 €/m²,72.000 €,64 m²,https://www.pisos.com/comprar/piso-vilafranca_del_penedes_centro_urbano-945856908107278_109700/,Anuncio actualizado el 21/06/2024,"G, F","G, F",alt_penedes (BCN),64 m²,51 m²,,3,1,Entre 30 y 50 años,4991803-31069,N/A,,,3ª,,A reformar,,,,Central,,,N/A,Noroeste,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Centre Vila,SAFTI ESPAÑA,1.226 €/m²,325.000 €,265 m²,https://www.pisos.com/comprar/casa-centre_vila-49211714284_100500/,Anuncio actualizado el 03/02/2025,"E, E","E, E",alt_penedes (BCN),265 m²,75 m²,,4,2,Más de 50 años,SA3541-REF_31953,N/A,,,,,,,,N/A,Gas natural,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa pareada en Centre de La Població,donpiso Central,2.162 €/m²,519.000 €,240 m²,https://www.pisos.com/comprar/casa_pareada-sant_cugat_sesgarrigues_centro_urbano-50014859619_109100/,Anuncio actualizado el 16/01/2025,"E, E","E, E",alt_penedes (BCN),240 m²,180 m²,,4,2,,FE38-288294,N/A,N/A,,,,,,Gres,Con bomba de calor,N/A,,,,Norte,,,,,,,N/A,,,Aluminio,,,Otra compañía,,,,,,,,,Pareada,,,,
"Piso en Carrer de Jaume Girona, 30",VILOMARA &  ASSOCIATS,1.346 €/m²,350.000 €,260 m²,https://www.pisos.com/comprar/piso-sant_sadurni_anoia_centro_urbano-42573285588_441400/,Anuncio actualizado el 21/01/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),260 m²,200 m²,,6,2,Más de 50 años,4414-024052,N/A,,,1ª,N/A,En buen estado,,Terrazo,,Gas natural,Super grande,,N/A,Sur,,,Enorme,1,,,,,,Madera,N/A,,N/A,,,N/A,Independiente,,,,,,,,,
Casa en Carrer de Barcelona,ONREALE REAL ESTATE SERVICES,629 €/m²,119.000 €,189 m²,https://www.pisos.com/comprar/casa-mediona_centro_urbano-50897601173_109300/,Anuncio actualizado el 29/01/2025,"F, F","F, F",alt_penedes (BCN),189 m²,140 m²,,3,1,Más de 50 años,EP839-PB-ON250921,,,,,,A reformar,,,,,Independiente,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,
Chalet en Gelida,FINQUES SUBIRANA,1.094 €/m²,200.300 €,183 m²,https://www.pisos.com/comprar/chalet-gelida_centro_urbano-49255338360_100500/,Anuncio actualizado el 20/02/2025,"F, E","F, E",alt_penedes (BCN),183 m²,,,,,Más de 50 años,SA377-17786/1783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Alt Penedès,FINQUES SIP,615 €/m²,425.000 €,690 m²,https://www.pisos.com/comprar/casa-castellvi_de_la_marca_centro_urbano-44209293211_100500/,Anuncio actualizado el 20/02/2025,"D, D","D, D",alt_penedes (BCN),690 m²,417 m²,11.500 m²,11,6,Más de 50 años,SA5343-09697/9669,N/A,N/A,Propia,,,,,,N/A,N/A,,,,Sur,N/A,,,1,N/A,,N/A,,,,,,,,,,,,,,1,,,,,
Piso en Carrer de l'Església,VILOMARA &  ASSOCIATS,2.571 €/m²,180.000 €,70 m²,https://www.pisos.com/comprar/piso-sant_sadurni_anoia_centro_urbano-50897481577_441400/,Anuncio actualizado el 24/01/2025,"E, E","E, E",alt_penedes (BCN),70 m²,50 m²,,2,1,Entre 10 y 20 años,4414-025016,N/A,,,Bajo,N/A,En buen estado,,Parquet,Frío,Gas natural,N/A,N/A,,Oeste,,,N/A,1,,N/A,N/A,N/A,N/A,Aluminio,N/A,N/A,N/A,,N/A,,N/A,,,,,,,,,
"Chalet en calle Valls -La Gornal, nº -",ALTAMIRA,Error al procesar precio m²,A consultar,141 m²,https://www.pisos.com/comprar/chalet-castellet_i_la_gornal_centro_urbano-40854171412_103600/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),141 m²,141 m²,,3,1,,AM9-2061##2061_0234_PE0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en  Residencial La Font del Bosc,donpiso Central,1.428 €/m²,357.000 €,250 m²,https://www.pisos.com/comprar/casa-mediona_centro_urbano-30057561750_109100/,Anuncio actualizado el 16/01/2025,"D, D","D, D",alt_penedes (BCN),250 m²,,,5,4,,FE12-160204,N/A,N/A,N/A,,,,,Gres,,N/A,,,,Norte,,,,,,,,,,Aluminio,,,Otra compañía,,,,,,,,,,,,,
Casa en Les Cabanyes,FINQUES SIP,2.130 €/m²,375.000 €,176 m²,https://www.pisos.com/comprar/casa-les_cabanyes-44234854299_100500/,Anuncio actualizado el 20/02/2025,"G, F","G, F",alt_penedes (BCN),176 m²,159 m²,1.235 m²,3,2,Entre 30 y 50 años,SA5343-09823/9669,,N/A,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer d'Eugeni d'Ors,HIPOGES IBERIA,1.545 €/m²,136.000 €,88 m²,https://www.pisos.com/comprar/piso-santa_margarida_i_els_monjos_centro_urbano-49212736349_100700/,Anuncio actualizado el 12/11/2024,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),88 m²,70 m²,,,,Entre 10 y 20 años,MURE-573002,,,,2ª,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Carrer de la Germanor,MONAPART,1.270 €/m²,635.000 €,500 m²,https://www.pisos.com/comprar/casa-vilafranca_del_penedes_poble_nou-45073695698_101800/,Anuncio actualizado el 05/09/2024,"C, C","C, C",alt_penedes (BCN),500 m²,,,10,5,Entre 30 y 50 años,IF76872-AV0077-3622,N/A,,,,,,,,,Central,N/A,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,
Casa rústica en Gelida,SAFTI ESPAÑA,3.716 €/m²,1.349.000 €,363 m²,https://www.pisos.com/comprar/casa_rustica-gelida_centro_urbano-48393882270_100500/,Anuncio actualizado el 04/02/2025,"C, C","C, C",alt_penedes (BCN),363 m²,263 m²,,5,5,Más de 50 años,SA3541-REF_31220,N/A,N/A,N/A,,,,,,,N/A,,,,,,,,2,,,,,,,,,,,,,,,,,,Rústica,,,,
Casa en Próximo A Las Cavas Mont Marçal,donpiso Central,1.065 €/m²,1.600.000 €,1.502 m²,https://www.pisos.com/comprar/casa-castellet_i_la_gornal_centro_urbano-16695159024_109100/,Anuncio actualizado el 16/02/2025,"E, E","E, E",alt_penedes (BCN),1.502 m²,704 m²,,,,,FE38-252273,,N/A,N/A,,,,,,,Gasoil,,,,,,,,,,,,,,Aluminio,,,Otra compañía,,,,,,,,,,,,N/A,
Chalet en Castellví de La Marca,eXp Realty,2.250 €/m²,1.350.000 €,600 m²,https://www.pisos.com/comprar/chalet-castellvi_de_la_marca_centro_urbano-44237247144_100500/,Anuncio actualizado el 20/05/2024,"E, E","E, E",alt_penedes (BCN),600 m²,590 m²,40.000 m²,7,4,Más de 50 años,SA3689-EXP07219/8930,N/A,N/A,,,,,,,,,,,,,N/A,N/A,N/A,1,,,N/A,,,,,,,,,,,,,,,,,,N/A,
"Piso en Carrer de la Germana Assumpta, 21",Aliseda Inmobiliaria,1.041 €/m²,65.600 €,63 m²,https://www.pisos.com/comprar/piso-sant_quinti_de_mediona_centro_urbano-50859999525_104500/,Anuncio actualizado el 02/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),63 m²,,,3,1,,ASR1-SRB0000106646,,,,,,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Casa en Passatge de Sitges, nº -",ALTAMIRA,2.266 €/m²,340.000 €,150 m²,https://www.pisos.com/comprar/casa-moli_en_rovira-44221881095_103600/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),150 m²,135 m²,,3,2,,AM9-2061##02004481,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finca rústica en Afueras,FINQUES SIP,1 €/m²,1.100.000 €,700 m²,https://www.pisos.com/comprar/finca_rustica-pontons_centro_urbano-44185353071_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),700 m²,650 m²,900.000 m²,10,4,,SA5343-09683/9669,N/A,,Propia,,,,,,,,,,,,N/A,N/A,N/A,,,,,,,,,N/A,,,,,,,,,,,,,,
Casa en Can Trabal,FINQUES SIP,1.686 €/m²,285.000 €,169 m²,https://www.pisos.com/comprar/casa-olerdola_centro_urbano-48361228296_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),169 m²,152 m²,,4,2,Entre 30 y 50 años,SA5343-09673/9669,N/A,N/A,,,,,,,,,,,,,N/A,N/A,N/A,,N/A,,N/A,,,,,,,,,,,,,,1,,,,,
Casa en Vilafranca del Penedès,FINQUES SIP,2.261 €/m²,475.000 €,210 m²,https://www.pisos.com/comprar/casa-les_clotes-44237837995_100500/,Anuncio actualizado el 20/02/2025,"F, E","F, E",alt_penedes (BCN),210 m²,187 m²,,8,4,Entre 20 y 30 años,SA5343-09513/9669,,N/A,,,,,,Gres,N/A,Gas natural,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Casa en Centre  Vila,FINQUES SIP,2.080 €/m²,780.000 €,375 m²,https://www.pisos.com/comprar/casa-sant_julia-50067491028_100500/,Anuncio actualizado el 20/02/2025,"C, C","C, C",alt_penedes (BCN),375 m²,199 m²,,3,3,Entre 10 y 20 años,SA5343-10024/9669,N/A,,Propia,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,
Piso en Carrer d'Antoni Mestres Jané,HIPOGES IBERIA,1.957 €/m²,211.400 €,108 m²,https://www.pisos.com/comprar/piso-les_clotes-45061701154_100700/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),108 m²,75 m²,,,,Entre 10 y 20 años,SBRE-0116142,,,,,,,,,,,,N/A,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,
Chalet en Camí del Racó,HELLOFINCA.,622 €/m²,448.000 €,720 m²,https://www.pisos.com/comprar/chalet-gelida_centro_urbano-48395368722_527713/,Anuncio actualizado el 24/01/2025,"C, C","C, C",alt_penedes (BCN),720 m²,300 m²,720 m²,3,3,Entre 10 y 20 años,4527713-CHALET GÉLIDA,N/A,Privado,,,,Reformado,,Parquet,Frío y calor,Gas natural,N/A,,,,,,N/A,Más de 2,N/A,N/A,,N/A,N/A,Aluminio,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,2,,,,N/A,
"Piso en Carrer d'Aragó, 31",VILOMARA &  ASSOCIATS,2.931 €/m²,129.000 €,44 m²,https://www.pisos.com/comprar/piso-sant_sadurni_anoia_centro_urbano-48396223043_441400/,Anuncio actualizado el 19/01/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),44 m²,40 m²,,1,1,Menos de 5 años,4414-024171,,,,Bajo,N/A,A estrenar,,Parquet,,Eléctrica,N/A,,,Este,,,N/A,,,N/A,N/A,N/A,N/A,Aluminio,N/A,,,,,,N/A,,,,,,,,,
Casa en A 5Mn en Coche A Vilafranca,donpiso Central,1.846 €/m²,360.000 €,195 m²,https://www.pisos.com/comprar/casa-puigdalber_centro_urbano-20899953696_109100/,Anuncio actualizado el 17/01/2025,"E, D","E, D",alt_penedes (BCN),195 m²,119 m²,,4,2,,FE38-257103,N/A,N/A,,,,,,Terrazo,Con bomba de calor,,,,,Norte,,,,,,,,,,Aluminio,,,Otra compañía,,,,,,,,,,,,,
Casa adosada en Sant Llorenç D´Hortons,donpiso Central,2.477 €/m²,175.900 €,71 m²,https://www.pisos.com/comprar/casa_adosada-sant_llorenc_hortons_centro_urbano-46684253842_109100/,Anuncio actualizado el 16/01/2025,"F, G","F, G",alt_penedes (BCN),71 m²,57 m²,,3,1,,FE12-285963,,,,,,,,Gres,Con bomba de calor,Eléctrica,,,,,,,,,,,,,,Aluminio,,,Otra compañía,,,,,,,,,Adosada,,,,
Dúplex en Próximo Al Centro,donpiso Central,1.817 €/m²,154.500 €,85 m²,https://www.pisos.com/comprar/duplex-sant_pere_de_riudebitlles_centro_urbano-45861419080_109100/,Anuncio actualizado el 17/01/2025,"E, E","E, E",alt_penedes (BCN),85 m²,75 m²,,2,2,,FE38-285630,,,,2ª,Exterior calle,,Entre 60 y 80 €,Gres,Con bomba de calor,Eléctrica,,N/A,N/A,Este,,,,,,,,,,Aluminio,,,Otra compañía,,,Por la mañana,,,,,,,,,,
Casa en Centro,FINQUES TEIXIDÓ,1.284 €/m²,438.000 €,341 m²,https://www.pisos.com/comprar/casa-sant_sadurni_anoia_centro_urbano-50908493658_100500/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),341 m²,,,3,2,Más de 50 años,SA4220-VC-972/9895,N/A,N/A,,,,,,,,N/A,,,,,N/A,,N/A,1,,,N/A,,,,,,,,,,,,,,,,,,,
"Piso en Avinguda de Catalunya, 41",Aliseda Inmobiliaria,957 €/m²,88.100 €,92 m²,https://www.pisos.com/comprar/piso-sant_quinti_de_mediona_centro_urbano-50903229713_104500/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),92 m²,,,3,2,,ASR1-SRB0000081755,,,,,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Avinguda de Catalunya, 41",Aliseda Inmobiliaria,1.045 €/m²,73.200 €,70 m²,https://www.pisos.com/comprar/piso-sant_quinti_de_mediona_centro_urbano-50901417280_104500/,Anuncio actualizado el 02/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),70 m²,,,2,2,,ASR1-SRB0000092466,,,,,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Carrer del Canigó,VILOMARA &  ASSOCIATS,1.554 €/m²,373.000 €,240 m²,https://www.pisos.com/comprar/casa-torrelavit_centro_urbano-39240896016_441400/,Anuncio actualizado el 19/01/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),240 m²,240 m²,170 m²,4,4,Entre 10 y 20 años,4414-023200,15 m²,Privado,,,,Reformado,,Gres,Frío y calor,Gas natural,"Abierta, totalemnte reformada",,,Sur,,En el comedor,En 2 alturas,Más de 2,N/A,,,Roble,Climalit,Aluminio,,Alarma,Natural,,,,En cocina independiente,N/A,N/A,,1,,,,,
"Dúplex en Carrer del Montblanc, nº -",ALTAMIRA,Error al procesar precio m²,A consultar,115 m²,https://www.pisos.com/comprar/duplex-torrelavit_centro_urbano-35034564885_103600/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),115 m²,95 m²,,,,,AM9-2061##02004205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Sant Martí Sarroca,CMS INMOBILIARIA.,635 €/m²,96.000 €,151 m²,https://www.pisos.com/comprar/piso-sant_marti_sarroca_centro_urbano-50834506638_108900/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),151 m²,,,3,2,,XA282-8370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet en calle Can Picolis,VILOMARA &  ASSOCIATS,846 €/m²,650.000 €,768 m²,https://www.pisos.com/comprar/chalet-vilobi_del_penedes_centro_urbano-8361768706_441400/,Anuncio actualizado el 19/01/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),768 m²,700 m²,1.824 m²,9,6,Entre 20 y 30 años,4414-020220,N/A,Privado,,,,En buen estado,,Gres,Frío y calor,Gasoil,N/A,,,Sur,,N/A,N/A,2,N/A,,,,N/A,Madera,,N/A,,,,,N/A,N/A,N/A,,Más de 2,,,,,
Piso en Carrer d'Antoni Mestres Jané,HIPOGES IBERIA,2.007 €/m²,186.700 €,93 m²,https://www.pisos.com/comprar/piso-les_clotes-45028319521_100700/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),93 m²,79 m²,,,,Entre 10 y 20 años,SBRE-0116136,,,,3ª,,,,,,,,N/A,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,
Piso en La Girada,Hounting,2.059 €/m²,138.000 €,67 m²,https://www.pisos.com/comprar/piso-la_girada-51711124921_100500/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),67 m²,,,1,1,,SA5364-2101/21010018/1,N/A,,,Bajo,N/A,En buen estado,,Gres,,,N/A,N/A,,,N/A,,,,,N/A,,,,,,,,,,,,,,,,,,,,
Casa en Urbanización Can Coral,donpiso Central,2.561 €/m²,187.000 €,73 m²,https://www.pisos.com/comprar/casa-torrelles_de_foix_centro_urbano-49207483545_109100/,Anuncio actualizado el 16/01/2025,"E, E","E, E",alt_penedes (BCN),73 m²,,,3,1,,FE38-287566,,,,,,,,Terrazo,,N/A,,,,Norte,,,,,,,,,,Aluminio,,,Otra compañía,,,,,,,,,,,,,
Chalet unifamiliar en Carrer del Miramar,URBE GRUP,1.409 €/m²,310.000 €,220 m²,https://www.pisos.com/comprar/chalet_unifamiliar-sant_llorenc_hortons_centro_urbano-48384608443_455500/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),220 m²,209 m²,570 m²,6,2,Más de 50 años,4555-P-033698,N/A,Privado,Propia,,,En buen estado,,Gres,,Gasoil,N/A,,,Este,,,N/A,1,N/A,,,,,Aluminio,,,,N/A,,,,N/A,N/A,,,,,,,
Casa en Carrer del Sol,IMMOBILIARIA LA PORTA,1.260 €/m²,295.000 €,234 m²,https://www.pisos.com/comprar/casa-sant_pere_de_riudebitlles_centro_urbano-42562799702_522168/,Anuncio actualizado el 23/03/2024,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),234 m²,198 m²,172 m²,3,2,Entre 30 y 50 años,522168-V306,N/A,,,,,En buen estado,,Gres,,Gas natural,N/A,,,Sur,,,N/A,,N/A,,,,,Aluminio,,,,,,,15 m²,N/A,N/A,N/A,,,,,,
Dúplex en Carrer del Raval,VILOMARA &  ASSOCIATS,2.129 €/m²,230.000 €,108 m²,https://www.pisos.com/comprar/duplex-sant_sadurni_anoia_centro_urbano-806206012_441400/,Anuncio actualizado el 19/01/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),108 m²,92 m²,,4,1,Menos de 5 años,4414-024002,16 m²,,,2ª,N/A,En buen estado,,Parquet,N/A,N/A,Amplia con espacio para comer y equipada,N/A,N/A,Oeste,N/A,,A la calle raval,,,N/A,,Haya,Climalit,N/A,Videoportero,,,N/A,,N/A,Con lavadora,,,,,,,,,N/A
Piso en Carretera d'Igualada,Aliseda Inmobiliaria,989 €/m²,100.960 €,102 m²,https://www.pisos.com/comprar/piso-barceloneta-45095277121_107000/,Anuncio actualizado el 09/11/2024,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),102 m²,,,,,,AS1-CAN0000185567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finca rústica en Lavern,FINQUES SIP,162 €/m²,120.000 €,274 m²,https://www.pisos.com/comprar/finca_rustica-subirats_centro_urbano-50858173434_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),274 m²,260 m²,738 m²,,,,SA5343-10046/9669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Carrer de la Bonavista,VILOMARA &  ASSOCIATS,378 €/m²,125.000 €,330 m²,https://www.pisos.com/comprar/casa-torrelavit_centro_urbano-35874522114_441400/,Anuncio actualizado el 19/01/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),330 m²,280 m²,110 m²,6,1,Más de 50 años,4414-023158,,,,,,A reformar,,Hidraulico,,,N/A,,,,,,N/A,,N/A,,,,,Madera,,,,,,,,N/A,N/A,,,,,,,
Casa en Carrer del Raval,VILOMARA &  ASSOCIATS,517 €/m²,225.000 €,435 m²,https://www.pisos.com/comprar/casa-sant_sadurni_anoia_centro_urbano-29210898247_441400/,Anuncio actualizado el 19/01/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),435 m²,,145 m²,,,,4414-022189,,,,,,En buen estado,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,
Piso en Carrer del Montseny,CICLOACTIVOS S.L.,1.173 €/m²,115.000 €,98 m²,https://www.pisos.com/comprar/piso-can_benet_de_la_prua-94249885749_991803/,Anuncio actualizado el 25/06/2024,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),98 m²,98 m²,,3,1,Entre 30 y 50 años,4991803-32015,,,,Entresuelo,,En buen estado,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Castellet I La Gornal,FR-Immobiliària,1.363 €/m²,150.000 €,110 m²,https://www.pisos.com/comprar/casa-castellet_i_la_gornal_centro_urbano-49210193534_103800/,Anuncio actualizado el 04/02/2025,"E, E","E, E",alt_penedes (BCN),110 m²,100 m²,56 m²,3,2,,INB278-806-50885,,N/A,,,,En buen estado,,,Frío y calor,Gas natural,N/A,,,Sureste,,,,,,,N/A,,,,,,,,,,,,,,,,,,N/A,
"Dúplex en Avinguda de l'Onze de Setembre, 22",ALTAMIRA,Error al procesar precio m²,A consultar,84 m²,https://www.pisos.com/comprar/duplex-gelida_centro_urbano-47516116881_103600/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),84 m²,84 m²,,,,,AM9-2061##2061_0308_PE0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Passatge de Sant Jaume,VILOMARA &  ASSOCIATS,618 €/m²,350.000 €,566 m²,https://www.pisos.com/comprar/casa-sant_sadurni_anoia_centro_urbano-926385597_441400/,Anuncio actualizado el 19/01/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),566 m²,466 m²,141 m²,10,4,Más de 50 años,4414-019049,2 grandes,,,,,En buen estado,,Terrazo,,Sin especificar,3,,,,,N/A,3,Sin especificar,N/A,,,,,,,,,,,,N/A,N/A,N/A,,,,,,,
"Casa en Urbanizacion Font del Bosc, Mediona.",donpiso Central,1.640 €/m²,164.000 €,100 m²,https://www.pisos.com/comprar/casa-mediona_centro_urbano-50929649760_109100/,Anuncio actualizado el 23/01/2025,"F, E","F, E",alt_penedes (BCN),100 m²,90 m²,,5,2,,FE12-289681,,,,,,,,Parket,Con bomba de calor,,,,,Norte,,,,,,,,,,Madera,,,Otra compañía,,,,,,,,,,,,,
Casa en Castellet I La Gornal,FR-Immobiliària,1.057 €/m²,350.000 €,331 m²,https://www.pisos.com/comprar/casa-castellet_i_la_gornal_centro_urbano-49253689001_103800/,Anuncio actualizado el 04/02/2025,"G, G","G, G",alt_penedes (BCN),331 m²,230 m²,,4,1,,INB278-808-50887,N/A,N/A,,,,En buen estado,,Gres,Frío y calor,Gas natural,N/A,,,Sur,,,,N/A,,,N/A,,,,,,,,,,,,,,N/A,,,,N/A,
Casa en Plaza Primer Homenatge A La Vellesa,VILOMARA &  ASSOCIATS,827 €/m²,450.000 €,544 m²,https://www.pisos.com/comprar/casa-sant_sadurni_anoia_centro_urbano-41674438152_441400/,Anuncio actualizado el 19/01/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),544 m²,421 m²,270 m²,9,3,Más de 50 años,4414-024038,N/A,Privado,,,,En buen estado,,Terrazo,,Gas natural,Varias,,,Sur,,,Muy soleado,,N/A,,,,,Madera,,,,,,,Independiente,N/A,N/A,,,,,,,
Dúplex en Carrer d'Antoni Mestres Jané,ATICNOU,2.093 €/m²,211.400 €,101 m²,https://www.pisos.com/comprar/duplex-les_clotes-51678498758_518281/,Anuncio actualizado el 14/02/2025,"D, D","D, D",alt_penedes (BCN),101 m²,75 m²,,4,3,Entre 10 y 20 años,4518281-SBRE-0116142,N/A,,,4ª,N/A,En buen estado,,,,,,N/A,N/A,,,,,1,,,N/A,,,,,,,,,N/A,,,,,,,,,,
"Piso en Avinguda de l'Onze de Setembre, 22",ALTAMIRA,Error al procesar precio m²,A consultar,71 m²,https://www.pisos.com/comprar/piso-gelida_centro_urbano-47575891726_103600/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),71 m²,71 m²,,,,,AM9-2061##2061_0308_PE0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Carrer de Montserrat,VILOMARA &  ASSOCIATS,730 €/m²,320.000 €,438 m²,https://www.pisos.com/comprar/casa-sant_sadurni_anoia_centro_urbano-929162073_441400/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),438 m²,357 m²,162 m²,4,3,Entre 10 y 20 años,4414-019037,N/A,,,,,En buen estado,,Gres,N/A,N/A,Reformada,,,N/A,N/A,,Varias opciones,N/A,,,,Maciza,Climalit,Madera,,,,,,,N/A,N/A,N/A,,,,,,,N/A
